Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
Which is the odd one out?;Triangle;Square;Circle;Rectangle;C,,,,,,,,
Five friends F, A, Q, C, and P are sitting in a row facing North. A is immediately to the left of Q. F is at one of the ends and is immediately next to C. P is to the right of Q. Who is sitting exactly in the middle?;A;Q;P;C;A,,,,,,,,
Five friends E, R, D, P, and F are sitting in a row facing North. R is immediately to the left of D. E is at one of the ends and is immediately next to P. F is to the right of D. Who is sitting exactly in the middle?;D;P;R;F;C,,,,,,,,
Five friends E, C, B, F, and R are sitting in a row facing North. C is immediately to the left of B. E is at one of the ends and is immediately next to F. R is to the right of B. Who is sitting exactly in the middle?;R;B;F;C;D,,,,,,,,
Five friends R, E, F, S, and Q are sitting in a row facing North. E is immediately to the left of F. R is at one of the ends and is immediately next to S. Q is to the right of F. Who is sitting exactly in the middle?;S;E;F;Q;B,,,,,,,,
Five friends R, F, B, A, and C are sitting in a row facing North. F is immediately to the left of B. R is at one of the ends and is immediately next to A. C is to the right of B. Who is sitting exactly in the middle?;C;F;B;A;B,,,,,,,,
Five friends A, B, S, D, and R are sitting in a row facing North. B is immediately to the left of S. A is at one of the ends and is immediately next to D. R is to the right of S. Who is sitting exactly in the middle?;R;S;B;D;C,,,,,,,,
Five friends P, A, E, T, and S are sitting in a row facing North. A is immediately to the left of E. P is at one of the ends and is immediately next to T. S is to the right of E. Who is sitting exactly in the middle?;A;T;S;E;A,,,,,,,,
Five friends R, T, Q, A, and D are sitting in a row facing North. T is immediately to the left of Q. R is at one of the ends and is immediately next to A. D is to the right of Q. Who is sitting exactly in the middle?;A;T;D;Q;B,,,,,,,,
Five friends T, P, Q, S, and B are sitting in a row facing North. P is immediately to the left of Q. T is at one of the ends and is immediately next to S. B is to the right of Q. Who is sitting exactly in the middle?;Q;B;P;S;C,,,,,,,,
Five friends E, Q, S, C, and F are sitting in a row facing North. Q is immediately to the left of S. E is at one of the ends and is immediately next to C. F is to the right of S. Who is sitting exactly in the middle?;Q;F;C;S;A,,,,,,,,
Five friends Q, A, F, C, and P are sitting in a row facing North. A is immediately to the left of F. Q is at one of the ends and is immediately next to C. P is to the right of F. Who is sitting exactly in the middle?;A;F;P;C;A,,,,,,,,
Five friends Q, P, T, R, and B are sitting in a row facing North. P is immediately to the left of T. Q is at one of the ends and is immediately next to R. B is to the right of T. Who is sitting exactly in the middle?;R;T;B;P;D,,,,,,,,
Five friends S, D, P, T, and Q are sitting in a row facing North. D is immediately to the left of P. S is at one of the ends and is immediately next to T. Q is to the right of P. Who is sitting exactly in the middle?;Q;T;D;P;C,,,,,,,,
Five friends P, A, C, S, and E are sitting in a row facing North. A is immediately to the left of C. P is at one of the ends and is immediately next to S. E is to the right of C. Who is sitting exactly in the middle?;E;C;S;A;D,,,,,,,,
Five friends Q, R, E, D, and P are sitting in a row facing North. R is immediately to the left of E. Q is at one of the ends and is immediately next to D. P is to the right of E. Who is sitting exactly in the middle?;E;P;D;R;D,,,,,,,,
Five friends E, R, D, B, and A are sitting in a row facing North. R is immediately to the left of D. E is at one of the ends and is immediately next to B. A is to the right of D. Who is sitting exactly in the middle?;B;A;R;D;C,,,,,,,,
Five friends R, B, Q, P, and F are sitting in a row facing North. B is immediately to the left of Q. R is at one of the ends and is immediately next to P. F is to the right of Q. Who is sitting exactly in the middle?;Q;F;B;P;C,,,,,,,,
Five friends F, P, E, A, and R are sitting in a row facing North. P is immediately to the left of E. F is at one of the ends and is immediately next to A. R is to the right of E. Who is sitting exactly in the middle?;A;R;E;P;D,,,,,,,,
Five friends B, R, E, C, and S are sitting in a row facing North. R is immediately to the left of E. B is at one of the ends and is immediately next to C. S is to the right of E. Who is sitting exactly in the middle?;R;S;C;E;A,,,,,,,,
Five friends T, S, Q, E, and D are sitting in a row facing North. S is immediately to the left of Q. T is at one of the ends and is immediately next to E. D is to the right of Q. Who is sitting exactly in the middle?;Q;D;E;S;D,,,,,,,,
Five friends R, E, P, Q, and F are sitting in a row facing North. E is immediately to the left of P. R is at one of the ends and is immediately next to Q. F is to the right of P. Who is sitting exactly in the middle?;Q;E;P;F;B,,,,,,,,
Five friends Q, D, B, E, and T are sitting in a row facing North. D is immediately to the left of B. Q is at one of the ends and is immediately next to E. T is to the right of B. Who is sitting exactly in the middle?;D;T;E;B;A,,,,,,,,
Five friends A, C, E, D, and R are sitting in a row facing North. C is immediately to the left of E. A is at one of the ends and is immediately next to D. R is to the right of E. Who is sitting exactly in the middle?;E;D;C;R;C,,,,,,,,
Five friends B, E, D, P, and Q are sitting in a row facing North. E is immediately to the left of D. B is at one of the ends and is immediately next to P. Q is to the right of D. Who is sitting exactly in the middle?;D;Q;P;E;D,,,,,,,,
Five friends F, A, C, S, and P are sitting in a row facing North. A is immediately to the left of C. F is at one of the ends and is immediately next to S. P is to the right of C. Who is sitting exactly in the middle?;S;P;A;C;C,,,,,,,,
Five friends C, A, D, S, and R are sitting in a row facing North. A is immediately to the left of D. C is at one of the ends and is immediately next to S. R is to the right of D. Who is sitting exactly in the middle?;S;R;A;D;C,,,,,,,,
Five friends D, T, B, F, and Q are sitting in a row facing North. T is immediately to the left of B. D is at one of the ends and is immediately next to F. Q is to the right of B. Who is sitting exactly in the middle?;B;Q;F;T;D,,,,,,,,
Five friends D, R, F, A, and P are sitting in a row facing North. R is immediately to the left of F. D is at one of the ends and is immediately next to A. P is to the right of F. Who is sitting exactly in the middle?;R;A;F;P;A,,,,,,,,
Five friends R, C, F, S, and T are sitting in a row facing North. C is immediately to the left of F. R is at one of the ends and is immediately next to S. T is to the right of F. Who is sitting exactly in the middle?;C;S;F;T;A,,,,,,,,
Five friends F, R, B, A, and C are sitting in a row facing North. R is immediately to the left of B. F is at one of the ends and is immediately next to A. C is to the right of B. Who is sitting exactly in the middle?;C;A;R;B;C,,,,,,,,
Pointing to a photograph of a man, A said, 'His mother's only daughter is my mother.' How is A related to the man in the photograph?;Brother;Nephew or Niece;Cousin;Uncle;B,,,,,,,,
Pointing to a photograph of a man, K said, 'His mother's only daughter is my mother.' How is K related to the man in the photograph?;Uncle;Brother;Nephew or Niece;Cousin;C,,,,,,,,
Pointing to a photograph of a man, M said, 'His mother's only daughter is my mother.' How is M related to the man in the photograph?;Cousin;Nephew or Niece;Uncle;Brother;B,,,,,,,,
Pointing to a photograph of a man, R said, 'His mother's only daughter is my mother.' How is R related to the man in the photograph?;Uncle;Cousin;Nephew or Niece;Brother;C,,,,,,,,
Pointing to a photograph of a man, P said, 'His mother's only daughter is my mother.' How is P related to the man in the photograph?;Nephew or Niece;Uncle;Cousin;Brother;A,,,,,,,,
A person starts from their home and walks 46 m towards North. Then they turn right and walk 39 m. Finally, they turn right again and walk 46 m. How far and in which direction are they from their starting point?;85 m North;39 m East;46 m South;39 m West;B,,,,,,,,
A person starts from their home and walks 33 m towards North. Then they turn right and walk 29 m. Finally, they turn right again and walk 33 m. How far and in which direction are they from their starting point?;62 m North;29 m West;29 m East;33 m South;C,,,,,,,,
A person starts from their home and walks 47 m towards North. Then they turn right and walk 42 m. Finally, they turn right again and walk 47 m. How far and in which direction are they from their starting point?;47 m South;42 m East;42 m West;89 m North;B,,,,,,,,
A person starts from their home and walks 38 m towards North. Then they turn right and walk 49 m. Finally, they turn right again and walk 38 m. How far and in which direction are they from their starting point?;49 m East;38 m South;49 m West;87 m North;A,,,,,,,,
A person starts from their home and walks 23 m towards North. Then they turn right and walk 23 m. Finally, they turn right again and walk 23 m. How far and in which direction are they from their starting point?;46 m North;23 m West;23 m South;23 m East;D,,,,,,,,
A person starts from their home and walks 46 m towards North. Then they turn right and walk 41 m. Finally, they turn right again and walk 46 m. How far and in which direction are they from their starting point?;41 m East;46 m South;41 m West;87 m North;A,,,,,,,,
A person starts from their home and walks 38 m towards North. Then they turn right and walk 44 m. Finally, they turn right again and walk 38 m. How far and in which direction are they from their starting point?;44 m East;38 m South;82 m North;44 m West;A,,,,,,,,
A person starts from their home and walks 13 m towards North. Then they turn right and walk 17 m. Finally, they turn right again and walk 13 m. How far and in which direction are they from their starting point?;13 m South;17 m West;17 m East;30 m North;C,,,,,,,,
A person starts from their home and walks 33 m towards North. Then they turn right and walk 36 m. Finally, they turn right again and walk 33 m. How far and in which direction are they from their starting point?;36 m East;33 m South;69 m North;36 m West;A,,,,,,,,
A person starts from their home and walks 45 m towards North. Then they turn right and walk 39 m. Finally, they turn right again and walk 45 m. How far and in which direction are they from their starting point?;84 m North;45 m South;39 m West;39 m East;D,,,,,,,,
A person starts from their home and walks 47 m towards North. Then they turn right and walk 15 m. Finally, they turn right again and walk 47 m. How far and in which direction are they from their starting point?;15 m East;62 m North;47 m South;15 m West;A,,,,,,,,
A person starts from their home and walks 11 m towards North. Then they turn right and walk 35 m. Finally, they turn right again and walk 11 m. How far and in which direction are they from their starting point?;35 m East;11 m South;35 m West;46 m North;A,,,,,,,,
A person starts from their home and walks 12 m towards North. Then they turn right and walk 15 m. Finally, they turn right again and walk 12 m. How far and in which direction are they from their starting point?;27 m North;15 m East;15 m West;12 m South;B,,,,,,,,
A person starts from their home and walks 31 m towards North. Then they turn right and walk 25 m. Finally, they turn right again and walk 31 m. How far and in which direction are they from their starting point?;25 m East;25 m West;56 m North;31 m South;A,,,,,,,,
A person starts from their home and walks 40 m towards North. Then they turn right and walk 50 m. Finally, they turn right again and walk 40 m. How far and in which direction are they from their starting point?;50 m West;50 m East;90 m North;40 m South;B,,,,,,,,
A person starts from their home and walks 12 m towards North. Then they turn right and walk 11 m. Finally, they turn right again and walk 12 m. How far and in which direction are they from their starting point?;23 m North;12 m South;11 m East;11 m West;C,,,,,,,,
A person starts from their home and walks 33 m towards North. Then they turn right and walk 16 m. Finally, they turn right again and walk 33 m. How far and in which direction are they from their starting point?;49 m North;33 m South;16 m East;16 m West;C,,,,,,,,
A person starts from their home and walks 29 m towards North. Then they turn right and walk 45 m. Finally, they turn right again and walk 29 m. How far and in which direction are they from their starting point?;29 m South;45 m East;45 m West;74 m North;B,,,,,,,,
A person starts from their home and walks 45 m towards North. Then they turn right and walk 35 m. Finally, they turn right again and walk 45 m. How far and in which direction are they from their starting point?;35 m West;80 m North;45 m South;35 m East;D,,,,,,,,
A person starts from their home and walks 17 m towards North. Then they turn right and walk 39 m. Finally, they turn right again and walk 17 m. How far and in which direction are they from their starting point?;39 m West;56 m North;17 m South;39 m East;D,,,,,,,,
A person starts from their home and walks 45 m towards North. Then they turn right and walk 40 m. Finally, they turn right again and walk 45 m. How far and in which direction are they from their starting point?;45 m South;40 m East;40 m West;85 m North;B,,,,,,,,
A person starts from their home and walks 23 m towards North. Then they turn right and walk 25 m. Finally, they turn right again and walk 23 m. How far and in which direction are they from their starting point?;25 m West;23 m South;25 m East;48 m North;C,,,,,,,,
A person starts from their home and walks 17 m towards North. Then they turn right and walk 12 m. Finally, they turn right again and walk 17 m. How far and in which direction are they from their starting point?;12 m East;17 m South;29 m North;12 m West;A,,,,,,,,
A person starts from their home and walks 11 m towards North. Then they turn right and walk 39 m. Finally, they turn right again and walk 11 m. How far and in which direction are they from their starting point?;39 m West;11 m South;50 m North;39 m East;D,,,,,,,,
A person starts from their home and walks 30 m towards North. Then they turn right and walk 10 m. Finally, they turn right again and walk 30 m. How far and in which direction are they from their starting point?;30 m South;10 m West;40 m North;10 m East;D,,,,,,,,
A person starts from their home and walks 20 m towards North. Then they turn right and walk 45 m. Finally, they turn right again and walk 20 m. How far and in which direction are they from their starting point?;45 m West;65 m North;45 m East;20 m South;C,,,,,,,,
A person starts from their home and walks 12 m towards North. Then they turn right and walk 37 m. Finally, they turn right again and walk 12 m. How far and in which direction are they from their starting point?;37 m West;12 m South;37 m East;49 m North;C,,,,,,,,
A person starts from their home and walks 38 m towards North. Then they turn right and walk 40 m. Finally, they turn right again and walk 38 m. How far and in which direction are they from their starting point?;78 m North;40 m East;38 m South;40 m West;B,,,,,,,,
A person starts from their home and walks 23 m towards North. Then they turn right and walk 46 m. Finally, they turn right again and walk 23 m. How far and in which direction are they from their starting point?;46 m East;46 m West;23 m South;69 m North;A,,,,,,,,
A person starts from their home and walks 22 m towards North. Then they turn right and walk 34 m. Finally, they turn right again and walk 22 m. How far and in which direction are they from their starting point?;56 m North;22 m South;34 m East;34 m West;C,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 1 hours, how many times do they toll together?;31;60;16;30;A,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 12 hours, how many times do they toll together?;181;720;361;360;C,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 3 hours, how many times do they toll together?;90;46;91;180;C,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 7 hours, how many times do they toll together?;210;106;420;211;D,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 6 hours, how many times do they toll together?;180;360;91;181;D,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 9 hours, how many times do they toll together?;136;540;270;271;D,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 10 hours, how many times do they toll together?;300;151;600;301;D,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 8 hours, how many times do they toll together?;121;241;480;240;B,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 5 hours, how many times do they toll together?;76;151;150;300;B,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 11 hours, how many times do they toll together?;660;331;166;330;B,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 4 hours, how many times do they toll together?;121;240;120;61;A,,,,,,,,
Six bells commence tolling together and toll at intervals of 2, 4, 6, 8, 10 and 12 seconds respectively. In 2 hours, how many times do they toll together?;61;120;31;60;A,,,,,,,,
Statements: All cars are mammals. Some mammals are expensive.<br>Conclusions:<br>I. Some cars are expensive.<br>II. Some expensive are mammals.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All cats are plants. Some plants are cute.<br>Conclusions:<br>I. Some cats are cute.<br>II. Some cute are plants.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All cars are vehicles. Some vehicles are green.<br>Conclusions:<br>I. Some cars are green.<br>II. Some green are vehicles.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All trees are mammals. Some mammals are fast.<br>Conclusions:<br>I. Some trees are fast.<br>II. Some fast are mammals.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All trees are plants. Some plants are fast.<br>Conclusions:<br>I. Some trees are fast.<br>II. Some fast are plants.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All dogs are mammals. Some mammals are expensive.<br>Conclusions:<br>I. Some dogs are expensive.<br>II. Some expensive are mammals.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All cars are animals. Some animals are expensive.<br>Conclusions:<br>I. Some cars are expensive.<br>II. Some expensive are animals.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All cats are animals. Some animals are expensive.<br>Conclusions:<br>I. Some cats are expensive.<br>II. Some expensive are animals.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All cats are mammals. Some mammals are fast.<br>Conclusions:<br>I. Some cats are fast.<br>II. Some fast are mammals.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All trees are vehicles. Some vehicles are expensive.<br>Conclusions:<br>I. Some trees are expensive.<br>II. Some expensive are vehicles.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All dogs are animals. Some animals are expensive.<br>Conclusions:<br>I. Some dogs are expensive.<br>II. Some expensive are animals.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All dogs are vehicles. Some vehicles are expensive.<br>Conclusions:<br>I. Some dogs are expensive.<br>II. Some expensive are vehicles.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All dogs are animals. Some animals are cute.<br>Conclusions:<br>I. Some dogs are cute.<br>II. Some cute are animals.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All cats are vehicles. Some vehicles are green.<br>Conclusions:<br>I. Some cats are green.<br>II. Some green are vehicles.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All cars are plants. Some plants are expensive.<br>Conclusions:<br>I. Some cars are expensive.<br>II. Some expensive are plants.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All trees are plants. Some plants are green.<br>Conclusions:<br>I. Some trees are green.<br>II. Some green are plants.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
Statements: All cars are plants. Some plants are fast.<br>Conclusions:<br>I. Some cars are fast.<br>II. Some fast are plants.;Only I follows;Only II follows;Both I and II follow;Neither I nor II follows;B,,,,,,,,
In a class of 65 students, Rohan's rank is 60th from the top. What is Rohan's rank from the bottom?;5;4;6;7;C,,,,,,,,
In a class of 80 students, Meera's rank is 51th from the top. What is Meera's rank from the bottom?;28;29;30;31;C,,,,,,,,
In a class of 73 students, John's rank is 55th from the top. What is John's rank from the bottom?;20;17;18;19;D,,,,,,,,
In a class of 80 students, Rohan's rank is 50th from the top. What is Rohan's rank from the bottom?;29;31;32;30;B,,,,,,,,
In a class of 55 students, Meera's rank is 25th from the top. What is Meera's rank from the bottom?;32;29;30;31;D,,,,,,,,
In a class of 68 students, Rohan's rank is 62th from the top. What is Rohan's rank from the bottom?;8;6;5;7;D,,,,,,,,
In a class of 61 students, Sita's rank is 52th from the top. What is Sita's rank from the bottom?;9;8;10;11;C,,,,,,,,
In a class of 72 students, Sita's rank is 58th from the top. What is Sita's rank from the bottom?;15;14;16;13;A,,,,,,,,
In a class of 74 students, Meera's rank is 66th from the top. What is Meera's rank from the bottom?;10;9;7;8;B,,,,,,,,
In a class of 33 students, John's rank is 17th from the top. What is John's rank from the bottom?;18;16;15;17;D,,,,,,,,
In a class of 77 students, John's rank is 19th from the top. What is John's rank from the bottom?;59;60;58;57;A,,,,,,,,
In a class of 44 students, John's rank is 19th from the top. What is John's rank from the bottom?;27;26;25;24;B,,,,,,,,
In a class of 59 students, Meera's rank is 20th from the top. What is Meera's rank from the bottom?;39;40;41;38;B,,,,,,,,
In a class of 75 students, John's rank is 49th from the top. What is John's rank from the bottom?;26;28;25;27;D,,,,,,,,
In a class of 44 students, Ali's rank is 12th from the top. What is Ali's rank from the bottom?;34;32;31;33;D,,,,,,,,
In a class of 47 students, John's rank is 37th from the top. What is John's rank from the bottom?;10;11;9;12;B,,,,,,,,
In a class of 65 students, Ali's rank is 53th from the top. What is Ali's rank from the bottom?;11;14;13;12;C,,,,,,,,
In a class of 35 students, Sita's rank is 18th from the top. What is Sita's rank from the bottom?;18;19;16;17;A,,,,,,,,
In a class of 58 students, John's rank is 37th from the top. What is John's rank from the bottom?;21;22;23;20;B,,,,,,,,
In a class of 55 students, John's rank is 23th from the top. What is John's rank from the bottom?;32;34;33;31;C,,,,,,,,
In a class of 65 students, Rohan's rank is 18th from the top. What is Rohan's rank from the bottom?;48;49;47;46;A,,,,,,,,
In a class of 47 students, Ali's rank is 24th from the top. What is Ali's rank from the bottom?;23;25;22;24;D,,,,,,,,
In a class of 65 students, Ali's rank is 20th from the top. What is Ali's rank from the bottom?;45;46;44;47;B,,,,,,,,
In a class of 59 students, Rohan's rank is 12th from the top. What is Rohan's rank from the bottom?;49;47;48;46;C,,,,,,,,
In a class of 77 students, John's rank is 30th from the top. What is John's rank from the bottom?;48;46;49;47;A,,,,,,,,
In a class of 80 students, Rohan's rank is 49th from the top. What is Rohan's rank from the bottom?;30;33;31;32;D,,,,,,,,
In a class of 52 students, Rohan's rank is 22th from the top. What is Rohan's rank from the bottom?;32;31;29;30;B,,,,,,,,
In a class of 44 students, Ali's rank is 25th from the top. What is Ali's rank from the bottom?;18;19;21;20;D,,,,,,,,
In a class of 65 students, Rohan's rank is 45th from the top. What is Rohan's rank from the bottom?;20;19;22;21;D,,,,,,,,
In a class of 52 students, Rohan's rank is 29th from the top. What is Rohan's rank from the bottom?;22;25;23;24;D,,,,,,,,
What is the correct mirror image of the given figure (with the mirror placed on the right dotted line)?<br><img src='images/vis_137efdee.svg' style='max-width:100%, border: 1px solid #ccc, margin-top:10px,'>;A;B;C;D;A,,,,,,,,
What is the correct mirror image of the given figure (with the mirror placed on the right dotted line)?<br><img src='images/vis_012a447d.svg' style='max-width:100%, border: 1px solid #ccc, margin-top:10px,'>;A;B;C;D;B,,,,,,,,
Find the figure that logically completes the series.<br><img src='images/vis_18b5d069.svg' style='max-width:100%, border: 1px solid #ccc, margin-top:10px,'>;A;B;C;D;A,,,,,,,,
Which tile completes the 2x2 grid?<br><img src='images/vis_00a469b7.svg' style='max-width:100%, border: 1px solid #ccc, margin-top:10px,'>;A;B;C;D;D,,,,,,,,
Find the option that contains the simple target shape embedded inside it.<br><img src='images/vis_0770a367.svg' style='max-width:100%, border: 1px solid #ccc, margin-top:10px,'>;A;B;C;D;B,,,,,,,,
What is the correct water image of the given item?<br><img src='images/vis_2d12e92c.svg' style='max-width:100%, border: 1px solid #ccc, margin-top:10px,'>;A;B;C;D;A,,,,,,,,
What is the correct water image of the given item?<br><img src='images/vis_8d5d88ab.svg' style='max-width:100%, border: 1px solid #ccc, margin-top:10px,'>;A;B;C;D;A,,,,,,,,
What is the correct water image of the given item?<br><img src='images/vis_67262b88.svg' style='max-width:100%, border: 1px solid #ccc, margin-top:10px,'>;A;B;C;D;A,,,,,,,,
What is the correct water image of the given item?<br><img src='images/vis_09b479cb.svg' style='max-width:100%, border: 1px solid #ccc, margin-top:10px,'>;A;B;C;D;A,,,,,,,,
