Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
The judge was ______ by the lack of evidence and dismissed the case.;elated;unconvinced;enthralled;vindicated;B,,,,,,,,
Despite the heavy downpour, the team remained ______ and completed the match.;apathetic;resolute;fickle;indecisive;B,,,,,,,,
The scientist's theory was so ______ that only a few peers could grasp it.;lucid;esoteric;mundane;rudimentary;B,,,,,,,,
Her ______ handling of the negotiation saved the company millions.;clumsy;inept;adroit;frivolous;C,,,,,,,,
Find the odd word out based on meaning.;Abundant;Copious;Plentiful;Sparse;D,,,,,,,,
Find the odd word out.;Garrulous;Loquacious;Voluble;Taciturn;D,,,,,,,,
Fill in the blank with the correct verb: A bouquet of flowers ______ undecided about the verdict.;was;are;were;is;A,,,,,,,,
Fill in the blank with the correct verb: Either the students or the teacher ______ responsible for the presentation.;are;were;have;is;D,,,,,,,,
Fill in the blank with the correct verb: A bouquet of flowers ______ informed about the sudden policy change.;is;was;are;were;B,,,,,,,,
Fill in the blank with the correct verb: The flock of birds ______ responsible for the presentation.;was;is;are;were;A,,,,,,,,
Fill in the blank with the correct verb: The flock of birds ______ informed about the sudden policy change.;was;are;were;is;A,,,,,,,,
Fill in the blank with the correct verb: The jury ______ undecided about the verdict.;are;were;was;is;C,,,,,,,,
Fill in the blank with the correct verb: The flock of birds ______ seen flying over the lake.;is;were;was;are;C,,,,,,,,
Fill in the blank with the correct verb: Neither the manager nor the employees ______ undecided about the verdict.;has;is;was;were;D,,,,,,,,
Fill in the blank with the correct verb: Either the students or the teacher ______ informed about the sudden policy change.;are;is;were;have;B,,,,,,,,
Fill in the blank with the correct verb: The jury ______ informed about the sudden policy change.;were;are;was;is;C,,,,,,,,
Fill in the blank with the correct verb: Either the students or the teacher ______ undecided about the verdict.;is;are;have;were;A,,,,,,,,
Fill in the blank with the correct verb: The jury ______ seen flying over the lake.;were;are;was;is;C,,,,,,,,
Fill in the blank with the correct verb: Neither the manager nor the employees ______ informed about the sudden policy change.;was;is;were;has;C,,,,,,,,
Analogy: BRAVE : COURAGEOUS :: WEALTHY : ?;RICH;POOR;COWARDLY;DESTITUTE;A,,,,,,,,
Analogy: HAPPY : SAD :: BRAVE : ?;FEARFUL;JOYFUL;COWARDLY;COURAGEOUS;C,,,,,,,,
Analogy: HAPPY : SAD :: BRIGHT : ?;JOYFUL;DARK;LUMINOUS;DIM;B,,,,,,,,
Analogy: BRAVE : COURAGEOUS :: HAPPY : ?;SORROWFUL;COWARDLY;JOYFUL;SAD;C,,,,,,,,
Analogy: HAPPY : JOYFUL :: WEALTHY : ?;RICH;DESTITUTE;SORROWFUL;SAD;A,,,,,,,,
Analogy: BRAVE : COWARDLY :: BRIGHT : ?;DIM;DARK;LUMINOUS;COURAGEOUS;B,,,,,,,,
Analogy: BRAVE : COWARDLY :: HAPPY : ?;JOYFUL;COURAGEOUS;SAD;SORROWFUL;C,,,,,,,,
Analogy: FAST : QUICK :: WEALTHY : ?;SLUGGISH;DESTITUTE;POOR;RICH;D,,,,,,,,
Analogy: WEALTHY : POOR :: FAST : ?;RICH;QUICK;SLOW;SLUGGISH;C,,,,,,,,
Analogy: HAPPY : SAD :: FAST : ?;SLOW;JOYFUL;SLUGGISH;QUICK;A,,,,,,,,
Analogy: BRIGHT : DARK :: BRAVE : ?;FEARFUL;COWARDLY;LUMINOUS;COURAGEOUS;B,,,,,,,,
Analogy: FAST : QUICK :: BRIGHT : ?;SLOW;DIM;LUMINOUS;DARK;C,,,,,,,,
Analogy: BRIGHT : LUMINOUS :: FAST : ?;DARK;SLOW;DIM;QUICK;D,,,,,,,,
Analogy: BRAVE : COWARDLY :: WEALTHY : ?;RICH;COURAGEOUS;POOR;DESTITUTE;C,,,,,,,,
Analogy: BRAVE : COWARDLY :: FAST : ?;COURAGEOUS;SLOW;SLUGGISH;QUICK;B,,,,,,,,
Analogy: WEALTHY : RICH :: BRAVE : ?;COURAGEOUS;POOR;FEARFUL;COWARDLY;A,,,,,,,,
Analogy: FAST : SLOW :: BRAVE : ?;FEARFUL;COWARDLY;QUICK;COURAGEOUS;B,,,,,,,,
Analogy: WEALTHY : POOR :: BRIGHT : ?;DARK;DIM;RICH;LUMINOUS;A,,,,,,,,
Analogy: HAPPY : JOYFUL :: BRIGHT : ?;DARK;LUMINOUS;SAD;DIM;B,,,,,,,,
Analogy: BRAVE : COURAGEOUS :: FAST : ?;QUICK;SLUGGISH;COWARDLY;SLOW;A,,,,,,,,
Analogy: WEALTHY : RICH :: HAPPY : ?;SAD;SORROWFUL;DESTITUTE;JOYFUL;D,,,,,,,,
Analogy: FAST : QUICK :: HAPPY : ?;JOYFUL;SLOW;SORROWFUL;SAD;A,,,,,,,,
Analogy: WEALTHY : RICH :: FAST : ?;QUICK;POOR;DESTITUTE;SLUGGISH;A,,,,,,,,
Analogy: WEALTHY : POOR :: BRAVE : ?;FEARFUL;COWARDLY;RICH;COURAGEOUS;B,,,,,,,,
Analogy: HAPPY : JOYFUL :: FAST : ?;SAD;SORROWFUL;SLOW;QUICK;D,,,,,,,,
Analogy: BRIGHT : DARK :: HAPPY : ?;LUMINOUS;JOYFUL;SORROWFUL;SAD;D,,,,,,,,
Analogy: WEALTHY : RICH :: BRIGHT : ?;DESTITUTE;POOR;DIM;LUMINOUS;D,,,,,,,,
Analogy: BRAVE : COURAGEOUS :: BRIGHT : ?;COWARDLY;FEARFUL;LUMINOUS;DIM;C,,,,,,,,
Analogy: WEALTHY : POOR :: HAPPY : ?;RICH;JOYFUL;SAD;SORROWFUL;C,,,,,,,,
Arrange correctly: P: The experienced surgeon  Q: saving the patient's life.  R: performed a complex operation  S: at the city hospital;PRSQ;QPRS;SPQR;PRQS;A,,,,,,,,
Arrange correctly: P: for the final exams  Q: The diligent student  R: to secure top grades.  S: studied late into the night;RSQP;QSRP;QSPR;QPRS;C,,,,,,,,
Arrange correctly: P: for the final exams  Q: studied late into the night  R: The diligent student  S: to secure top grades.;RQSP;RSQP;RQPS;QRPS;C,,,,,,,,
Arrange correctly: P: to test the hypothesis.  Q: conducted an experiment  R: The scientist  S: in the laboratory;RQSP;QPRS;PQRS;QSRP;A,,,,,,,,
Arrange correctly: P: The young boy  Q: to catch the bus  R: quickly ran across the street  S: before it departed.;PRQS;QRPS;RSQP;PQRS;A,,,,,,,,
Arrange correctly: P: before it departed.  Q: quickly ran across the street  R: The young boy  S: to catch the bus;QRPS;SRQP;PSQR;RQSP;D,,,,,,,,
Arrange correctly: P: The diligent student  Q: studied late into the night  R: to secure top grades.  S: for the final exams;QSRP;QRPS;PQSR;PQRS;C,,,,,,,,
Arrange correctly: P: performed a complex operation  Q: at the city hospital  R: The experienced surgeon  S: saving the patient's life.;SPQR;PRQS;RQSP;RPQS;D,,,,,,,,
Arrange correctly: P: to secure top grades.  Q: The diligent student  R: studied late into the night  S: for the final exams;QRSP;RSQP;QPRS;QSRP;A,,,,,,,,
Arrange correctly: P: before it departed.  Q: The young boy  R: quickly ran across the street  S: to catch the bus;QRSP;QSRP;PSQR;RQSP;A,,,,,,,,
Arrange correctly: P: The young boy  Q: quickly ran across the street  R: to catch the bus  S: before it departed.;QSRP;QPRS;RQSP;PQRS;D,,,,,,,,
Arrange correctly: P: to secure top grades.  Q: studied late into the night  R: for the final exams  S: The diligent student;QRPS;SQRP;SRQP;SPQR;B,,,,,,,,
Arrange correctly: P: The experienced surgeon  Q: at the city hospital  R: saving the patient's life.  S: performed a complex operation;PRQS;QRPS;SRQP;PSQR;D,,,,,,,,
Arrange correctly: P: The experienced surgeon  Q: performed a complex operation  R: saving the patient's life.  S: at the city hospital;PQSR;QPRS;SPQR;PSQR;A,,,,,,,,
Arrange correctly: P: to test the hypothesis.  Q: in the laboratory  R: The scientist  S: conducted an experiment;PSQR;RSQP;QSRP;QRPS;B,,,,,,,,
Arrange correctly: P: in the laboratory  Q: to test the hypothesis.  R: The scientist  S: conducted an experiment;RSPQ;QRPS;QSRP;SQPR;A,,,,,,,,
Arrange correctly: P: The scientist  Q: to test the hypothesis.  R: conducted an experiment  S: in the laboratory;SQPR;PRSQ;RSQP;QPRS;B,,,,,,,,
Arrange correctly: P: at the city hospital  Q: performed a complex operation  R: The experienced surgeon  S: saving the patient's life.;RQPS;PQRS;RSQP;QSRP;A,,,,,,,,
Arrange correctly: P: studied late into the night  Q: The diligent student  R: for the final exams  S: to secure top grades.;QPRS;SQPR;RSQP;SRQP;A,,,,,,,,
Arrange correctly: P: to test the hypothesis.  Q: conducted an experiment  R: in the laboratory  S: The scientist;SQRP;PQRS;SRQP;QPRS;A,,,,,,,,
Arrange correctly: P: at the city hospital  Q: The experienced surgeon  R: saving the patient's life.  S: performed a complex operation;SRQP;QSPR;PQRS;SQPR;B,,,,,,,,
Arrange correctly: P: to test the hypothesis.  Q: The scientist  R: conducted an experiment  S: in the laboratory;QRSP;RQSP;SRQP;QPRS;A,,,,,,,,
Arrange correctly: P: before it departed.  Q: to catch the bus  R: The young boy  S: quickly ran across the street;QSRP;QPRS;RSQP;QRPS;C,,,,,,,,
Arrange correctly: P: quickly ran across the street  Q: The young boy  R: before it departed.  S: to catch the bus;PRQS;QPSR;SRQP;PQRS;B,,,,,,,,
Arrange correctly: P: for the final exams  Q: The diligent student  R: studied late into the night  S: to secure top grades.;QPRS;QRPS;PRQS;QSRP;B,,,,,,,,
Arrange correctly: P: quickly ran across the street  Q: The young boy  R: to catch the bus  S: before it departed.;QRPS;QPRS;SRQP;QSRP;B,,,,,,,,
Arrange correctly: P: performed a complex operation  Q: The experienced surgeon  R: saving the patient's life.  S: at the city hospital;PRQS;QPSR;QPRS;RQSP;B,,,,,,,,
Complete the idiom: 'Beat around the ______';bush;fence;tree;house;A,,,,,,,,
Complete the idiom: 'Break a ______';stick;leg;record;arm;B,,,,,,,,
Complete the idiom: 'Piece of ______';bread;candy;pie;cake;D,,,,,,,,
Complete the idiom: 'Bite the ______';bullet;dust;metal;apple;A,,,,,,,,
Complete the idiom: 'Cut corners ______';corners;lines;edges;shapes;A,,,,,,,,
Complete the idiom: 'A blessing in ______';secret;cover;hiding;disguise;D,,,,,,,,
Complete the idiom: 'Under the ______';weather;rain;storm;cloud;A,,,,,,,,
Statement: The government has decided to increase the prices of petroleum products. <br>Assumption I: The price of essential commodities will go up. <br>Assumption II: There will be a nationwide strike. <br>Which of the assumptions is implicit?;Only Assumption I is implicit;Only Assumption II is implicit;Both Assumption I and II are implicit;Neither Assumption I nor II is implicit;A,,,,,,,,
Statement: All students in the class are bright. Rahul is not bright. <br>Conclusion: Rahul is not a student of the class. <br>Is the conclusion valid?;Yes, absolutely valid;No, invalid;May or may not be valid;Irrelevant to the statement;A,,,,,,,,
Statement: 'You are hereby appointed as a programmer with a probation period of one year.' - A letter of appointment. <br>Assumption I: The performance of an individual generally is not known at the time of appointment. <br>Assumption II: Generally an individual tries to prove his worth in the probation period.;Only I is implicit;Only II is implicit;Both I and II are implicit;Neither I nor II is implicit;C,,,,,,,,
The price of gold has increased globally. Therefore, the sales of gold jewelry in the local market will decrease. <br>Which of the following, if true, would most severely weaken this argument?;Local consumers buy gold primarily as a long-term investment, regardless of short-term price fluctuations.;The global production of gold has also increased.;Silver is becoming a popular alternative to gold.;Local jewelers are offering discounts on making charges.;A,,,,,,,,
Spot the error in the sentence: 'The team of scientists (A) / are discussing the results (B) / of the recent experiment (C) / in the laboratory (D).';A;B;C;D;B,,,,,,,,
Spot the error: 'None of the students (A) / have finished (B) / their assignments (C) / on time (D).';A;B;C;D;B,,,,,,,,
Spot the error: 'He is one of those writers (A) / who has won (B) / the Nobel Prize (C) / for literature (D).';A;B;C;D;B,,,,,,,,
Spot the error: 'Despite of the heavy rain (A) / he decided to (B) / go out for a walk (C) / in the park (D).';A;B;C;D;A,,,,,,,,
Passage: The industrial revolution brought about massive changes in societal structures. As agrarian societies transitioned to urban centers, the traditional family unit evolved. Children, once farmhands, became factory workers, leading to new labor laws. <br>What was a direct consequence of the transition to urban centers mentioned in the passage?;An increase in agricultural productivity;The evolution of the traditional family unit;A decrease in the need for child labor;The immediate abolition of factories;B,,,,,,,,
Passage: Marie Curie's groundbreaking research on radioactivity not only earned her two Nobel Prizes but also paved the way for modern medical treatments like radiation therapy. However, prolonged exposure to radioactive materials ultimately caused her fatal illness. <br>Which of the following describes the paradox of Marie Curie's life as presented in the passage?;She won two Nobel Prizes but lived in poverty.;Her discoveries cured others but caused her own death.;She studied physics but made breakthroughs in medicine.;She was famous globally but unknown in her home country.;B,,,,,,,,
Passage: E-commerce has fundamentally altered retail. Brick-and-mortar stores are forced to adopt omnichannel strategies, integrating their physical presence with online storefronts to survive the digital onslaught. <br>What does an 'omnichannel strategy' likely involve based on the passage?;Focusing solely on online sales;Closing all physical stores;Combining physical and online retail presence;Ignoring e-commerce trends;C,,,,,,,,
The politician's speech was so ______ that it managed to offend both his supporters and his opponents.;conciliatory;inflammatory;diplomatic;ambiguous;B,,,,,,,,
The company decided to ______ its operations in the region due to the ongoing political instability.;expand;curtail;bolster;initiate;B,,,,,,,,
Choose the grammatically correct sentence.;Running down the street, my hat blew off.;While running down the street, my hat blew off.;As I was running down the street, my hat blew off.;To run down the street, my hat blew off.;C,,,,,,,,
Choose the sentence with correct parallelism.;She likes to hike, swim, and riding a bicycle.;She likes hiking, swimming, and to ride a bicycle.;She likes to hike, to swim, and ride a bicycle.;She likes hiking, swimming, and riding a bicycle.;D,,,,,,,,
