Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
If log 27 = 1.431, then the value of log 9 is:;0.934;0.945;0.954;0.958;C,,,,,,,,
If 5^a = 3125, then the value of 5^(a-3) is:;25;125;625;1625;A,,,,,,,,
10 years ago, the average age of a family of 4 members was 24 years. Two children having been born (with age difference of 2 years), the present average age of the family is the same. The present age of the youngest child is:;1 year;2 years;3 years;5 years;C,,,,,,,,
A clock is started at noon. By 10 minutes past 5, the hour hand has turned through:;145 degrees;150 degrees;155 degrees;160 degrees;C,,,,,,,,
Find the angle between the hour hand and the minute hand of a clock when the time is 3.25.;47.5 degrees;57.5 degrees;45 degrees;55 degrees;A,,,,,,,,
What decimal of an hour is a second?;0.0025;0.0256;0.00027;0.000126;C,,,,,,,,
The sum of two numbers is 25 and their difference is 13. Find their product.;104;114;315;325;B,,,,,,,,
Find the largest number of 4 digits divisible by 12, 15, 18 and 27.;9690;9720;9930;9960;B,,,,,,,,
Three numbers are in the ratio of 3 : 4 : 5 and their L.C.M. is 2400. Their H.C.F. is:;40;80;120;200;A,,,,,,,,
What is the value of x in the equation: 3(x - 5) - 2(x + 2) = 10?;29;9;19;39;A,,,,,,,,
In a class of 60 students, 40% are girls. The number of boys is:;24;36;20;30;B,,,,,,,,
The area of a rectangle is 240 sq cm and its diagonal is 26 cm. The perimeter of the rectangle is:;58 cm;68 cm;78 cm;48 cm;B,,,,,,,,
The volume of a cube is 512 cubic cm. Find its total surface area.;384 sq cm;256 sq cm;320 sq cm;512 sq cm;A,,,,,,,,
A sum of Rs. 12,500 amounts to Rs. 15,500 in 4 years at the rate of simple interest. What is the rate of interest?;3%;4%;5%;6%;D,,,,,,,,
Which is greater: 2/3 or 4/7?;2/3;4/7;Both are equal;Cannot be determined;A,,,,,,,,
If a number is divisible by both 11 and 13, then it must be necessarily divisible by:;(11+13);(13-11);(11*13);None of these;C,,,,,,,,
What least number must be added to 1056 so that the sum is completely divisible by 23?;2;3;18;21;2,,,,,,,,
The sum of four consecutive even numbers is 284. What would be the smallest number?;66;68;72;74;68,,,,,,,,
If the number 517*324 is completely divisible by 3, then the smallest whole number in place of * will be:;0;1;2;None of these;2,,,,,,,,
If A's salary is 20% less than B's salary, by how much percent is B's salary more than A's?;20%;24%;25%;30%;C,,,,,,,,
A student has to obtain 33% of the total marks to pass. He got 125 marks and failed by 40 marks. The maximum marks are:;300;500;800;1000;B,,,,,,,,
The population of a town increased from 1,75,000 to 2,62,500 in a decade. The average percent increase of population per year is:;4.37%;5%;6%;8.75%;5%,,,,,,,,
In an election between two candidates, one got 55% of the total valid votes, 20% of the votes were invalid. If the total number of votes was 7500, the number of valid votes that the other candidate got was:;2700;2900;3000;3100;A,,,,,,,,
Alfred buys an old scooter for Rs. 4700 and spends Rs. 800 on its repairs. If he sells the scooter for Rs. 5800, his gain percent is:;4.5%;5.45%;10%;12%;5.45%,,,,,,,,
The cost price of 20 articles is the same as the selling price of x articles. If the profit is 25%, then the value of x is:;15;16;18;25;B,,,,,,,,
A shopkeeper expects a gain of 22.5% on his cost price. If in a week, his sale was of Rs. 392, what was his profit?;Rs. 18.20;Rs. 70;Rs. 72;Rs. 88.25;72,,,,,,,,
A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:;Rs. 650;Rs. 690;Rs. 698;Rs. 700;C,,,,,,,,
Mr. Thomas invested an amount of Rs. 13,900 divided in two different schemes A and B at the simple interest rate of 14% p.a. and 11% p.a. respectively. If the total amount of simple interest earned in 2 years be Rs. 3508, what was the amount invested in Scheme B?;Rs. 6400;Rs. 6500;Rs. 7200;Rs. 7500;Rs. 6400,,,,,,,,
If the simple interest on a sum of money for 2 years at 5% per annum is Rs. 50, what is the compound interest on the same at the same rate and for the same time?;Rs. 51.25;Rs. 52;Rs. 54.25;Rs. 60;Rs. 51.25,,,,,,,,
The difference between simple interest and compound interest on Rs. 1200 for one year at 10% per annum reckoned half-yearly is:;Rs. 2.50;Rs. 3;Rs. 3.75;Rs. 4;Rs. 3,,,,,,,,
A and B together have Rs. 1210. If 4/15 of A's amount is equal to 2/5 of B's amount, how much amount does B have?;Rs. 460;Rs. 484;Rs. 550;Rs. 664;Rs. 484,,,,,,,,
Two numbers are respectively 20% and 50% more than a third number. The ratio of the two numbers is:;2:5;3:5;4:5;6:7;4:5,,,,,,,,
A sum of money is to be distributed among A, B, C, D in the proportion of 5:2:4:3. If C gets Rs. 1000 more than D, what is B's share?;Rs. 500;Rs. 1500;Rs. 2000;None of these;Rs. 2000,,,,,,,,
Seats for Mathematics, Physics and Biology in a school are in the ratio 5:7:8. There is a proposal to increase these seats by 40%, 50% and 75% respectively. What will be the ratio of increased seats?;2:3:4;6:7:8;6:8:9;None of these;2:3:4,,,,,,,,
In the first 10 overs of a cricket game, the run rate was only 3.2. What should be the run rate in the remaining 40 overs to reach the target of 282 runs?;6.25;6.5;6.75;7;6.25,,,,,,,,
A family consists of two grandparents, two parents and three grandchildren. The average age of the grandparents is 67 years, that of the parents is 35 years and that of the grandchildren is 6 years. What is the average age of the family?;28 4/7 years;31 5/7 years;32 1/7 years;None of these;31 5/7 years,,,,,,,,
The average of 20 numbers is zero. Of them, at the most, how many may be greater than zero?;0;1;10;19;19,,,,,,,,
The captain of a cricket team of 11 members is 26 years old and the wicket keeper is 3 years older. If the ages of these two are excluded, the average age of the remaining players is one year less than the average age of the whole team. What is the average age of the team?;23 years;24 years;25 years;None of these;23 years,,,,,,,,
A, B and C can do a piece of work in 20, 30 and 60 days respectively. In how many days can A do the work if he is assisted by B and C on every third day?;12 days;15 days;16 days;18 days;15 days,,,,,,,,
A alone can do a piece of work in 6 days and B alone in 8 days. A and B undertook to do it for Rs. 3200. With the help of C, they completed the work in 3 days. How much is to be paid to C?;Rs. 375;Rs. 400;Rs. 600;Rs. 800;Rs. 400,,,,,,,,
If 6 men and 8 boys can do a piece of work in 10 days while 26 men and 48 boys can do the same in 2 days, the time taken by 15 men and 20 boys in doing the same type of work will be:;4 days;5 days;6 days;7 days;4 days,,,,,,,,
A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:;45 km/hr;50 km/hr;54 km/hr;55 km/hr;50 km/hr,,,,,,,,
The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is:;200 m;225 m;245 m;250 m;245 m,,,,,,,,
From a group of 7 men and 6 women, five persons are to be selected to form a committee so that at least 3 men are there on the committee. In how many ways can it be done?;564;645;735;756;756,,,,,,,,
In how many different ways can the letters of the word 'LEADING' be arranged in such a way that the vowels always come together?;360;480;720;5040;720,,,,,,,,
Out of 7 consonants and 4 vowels, how many words of 3 consonants and 2 vowels can be formed?;210;1050;25200;21400;25200,,,,,,,,
Two dice are tossed. The probability that the total score is a prime number is:;1/6;5/12;1/2;7/9;5/12,,,,,,,,
A card is drawn from a pack of 52 cards. The probability of getting a queen of club or a king of heart is:;1/13;2/13;1/26;1/52;1/26,,,,,,,,
One card is drawn at random from a pack of 52 cards. What is the probability that the card drawn is a face card (Jack, Queen and King only)?;1/13;3/13;1/4;9/52;3/13,,,,,,,,
Determine the value of x if: log2 (x - 3) + log2 (x - 2) = 1;4;3;5;6;4,,,,,,,,
If x + y = 5 and xy = 6, find the value of x^3 + y^3.;35;45;65;125;35,,,,,,,,
The roots of the quadratic equation x^2 - 5x + 6 = 0 are:;(2,3);(-2,-3);(1,6);(-1,-6);(2,3),,,,,,,,
In the given figure, O is the center of the circle. If angle BOC = 100°, what is the measure of angle BAC?<br><img src='images/vis_ac76fa49.svg' style='max-width:100%,'>;40°;50°;80°;100°;50°,,,,,,,,
Find the length of the diagonal of a rectangle whose sides are 15 cm and 8 cm.<br><img src='images/vis_c6ae895f.svg' style='max-width:100%,'>;17 cm;20 cm;23 cm;120 cm;17 cm,,,,,,,,
The area of a triangle is 120 cm² and its base is 24 cm. What is its height?<br><img src='images/vis_a68c427e.svg' style='max-width:100%,'>;5 cm;10 cm;12 cm;20 cm;10 cm,,,,,,,,
Study the bar chart showing sales data.<br>What is the percentage increase in sales from 2018 to 2020?<br><img src='images/vis_e25b9d24.svg' style='max-width:100%,'>;50%;80%;100%;200%;100%,,,,,,,,
Study the pie chart carefully.<br>How many more students are in the Science stream compared to the Arts stream?<br><img src='images/vis_4461a119.svg' style='max-width:100%,'>;100;200;500;700;200,,,,,,,,
A student has to obtain 33% of the total marks to pass. He got 246 marks and failed by 18 marks. The maximum marks are:;700;800;850;900;B,,,,,,,,
A student has to obtain 45% of the total marks to pass. He got 413 marks and failed by 37 marks. The maximum marks are:;1100;1000;1050;900;B,,,,,,,,
A student has to obtain 42% of the total marks to pass. He got 147 marks and failed by 21 marks. The maximum marks are:;400;500;300;450;A,,,,,,,,
A student has to obtain 40% of the total marks to pass. He got 270 marks and failed by 50 marks. The maximum marks are:;900;800;700;850;B,,,,,,,,
A student has to obtain 40% of the total marks to pass. He got 114 marks and failed by 46 marks. The maximum marks are:;450;300;500;400;D,,,,,,,,
A student has to obtain 45% of the total marks to pass. He got 146 marks and failed by 34 marks. The maximum marks are:;300;400;500;450;B,,,,,,,,
A student has to obtain 33% of the total marks to pass. He got 147 marks and failed by 18 marks. The maximum marks are:;600;500;550;400;B,,,,,,,,
A student has to obtain 31% of the total marks to pass. He got 271 marks and failed by 39 marks. The maximum marks are:;900;1050;1100;1000;D,,,,,,,,
A student has to obtain 43% of the total marks to pass. He got 414 marks and failed by 16 marks. The maximum marks are:;1000;1100;900;1050;A,,,,,,,,
A student has to obtain 37% of the total marks to pass. He got 126 marks and failed by 22 marks. The maximum marks are:;300;500;450;400;D,,,,,,,,
A student has to obtain 41% of the total marks to pass. He got 127 marks and failed by 37 marks. The maximum marks are:;450;400;300;500;B,,,,,,,,
A student has to obtain 43% of the total marks to pass. He got 411 marks and failed by 19 marks. The maximum marks are:;1100;900;1000;1050;C,,,,,,,,
A student has to obtain 32% of the total marks to pass. He got 167 marks and failed by 25 marks. The maximum marks are:;700;650;500;600;D,,,,,,,,
A student has to obtain 38% of the total marks to pass. He got 131 marks and failed by 21 marks. The maximum marks are:;300;450;400;500;C,,,,,,,,
A student has to obtain 45% of the total marks to pass. He got 120 marks and failed by 15 marks. The maximum marks are:;300;350;200;400;A,,,,,,,,
A student has to obtain 45% of the total marks to pass. He got 250 marks and failed by 20 marks. The maximum marks are:;500;650;700;600;D,,,,,,,,
A student has to obtain 39% of the total marks to pass. He got 160 marks and failed by 35 marks. The maximum marks are:;400;550;600;500;D,,,,,,,,
A student has to obtain 37% of the total marks to pass. He got 170 marks and failed by 15 marks. The maximum marks are:;600;400;500;550;C,,,,,,,,
A student has to obtain 35% of the total marks to pass. He got 100 marks and failed by 40 marks. The maximum marks are:;300;450;500;400;D,,,,,,,,
A student has to obtain 45% of the total marks to pass. He got 440 marks and failed by 10 marks. The maximum marks are:;1050;900;1100;1000;D,,,,,,,,
A student has to obtain 31% of the total marks to pass. He got 154 marks and failed by 32 marks. The maximum marks are:;700;500;600;650;C,,,,,,,,
A student has to obtain 41% of the total marks to pass. He got 81 marks and failed by 41 marks. The maximum marks are:;400;200;350;300;D,,,,,,,,
A student has to obtain 42% of the total marks to pass. He got 144 marks and failed by 24 marks. The maximum marks are:;400;450;500;300;A,,,,,,,,
A student has to obtain 34% of the total marks to pass. He got 302 marks and failed by 38 marks. The maximum marks are:;900;1050;1000;1100;C,,,,,,,,
A student has to obtain 34% of the total marks to pass. He got 62 marks and failed by 40 marks. The maximum marks are:;350;300;400;200;B,,,,,,,,
A student has to obtain 37% of the total marks to pass. He got 176 marks and failed by 46 marks. The maximum marks are:;500;600;700;650;B,,,,,,,,
A student has to obtain 37% of the total marks to pass. He got 355 marks and failed by 15 marks. The maximum marks are:;900;1000;1100;1050;B,,,,,,,,
A student has to obtain 44% of the total marks to pass. He got 403 marks and failed by 37 marks. The maximum marks are:;1000;1100;900;1050;A,,,,,,,,
A student has to obtain 31% of the total marks to pass. He got 219 marks and failed by 29 marks. The maximum marks are:;700;800;850;900;B,,,,,,,,
A vendor bought toffees at 10 for a rupee. How many for a rupee must he sell to gain 25%?;10;8;9;7;B,,,,,,,,
A vendor bought toffees at 5 for a rupee. How many for a rupee must he sell to gain 25%?;3;5;4;6;C,,,,,,,,
A vendor bought toffees at 9 for a rupee. How many for a rupee must he sell to gain 28%?;7;6;9;8;A,,,,,,,,
A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 50%?;4;3;6;5;A,,,,,,,,
A vendor bought toffees at 7 for a rupee. How many for a rupee must he sell to gain 39%?;4;5;6;7;B,,,,,,,,
A vendor bought toffees at 5 for a rupee. How many for a rupee must he sell to gain 66%?;2;3;5;4;B,,,,,,,,
A vendor bought toffees at 8 for a rupee. How many for a rupee must he sell to gain 14%?;7;6;9;8;A,,,,,,,,
A vendor bought toffees at 4 for a rupee. How many for a rupee must he sell to gain 33%?;2;3;5;4;B,,,,,,,,
A vendor bought toffees at 7 for a rupee. How many for a rupee must he sell to gain 16%?;6;8;5;7;A,,,,,,,,
A vendor bought toffees at 9 for a rupee. How many for a rupee must he sell to gain 12%?;8;10;9;7;A,,,,,,,,
A vendor bought toffees at 8 for a rupee. How many for a rupee must he sell to gain 33%?;6;7;8;5;A,,,,,,,,
A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 19%?;7;4;5;6;C,,,,,,,,
A sum of money at simple interest amounts to Rs. 1220 in 2 years and to Rs. 1330 in 3 years. The sum is:;Rs. 1000;Rs. 1100;Rs. 950;Rs. 1050;A,,,,,,,,
A sum of money at simple interest amounts to Rs. 1240 in 3 years and to Rs. 1400 in 5 years. The sum is:;Rs. 950;Rs. 1100;Rs. 1000;Rs. 1050;C,,,,,,,,
A sum of money at simple interest amounts to Rs. 1776 in 4 years and to Rs. 2064 in 6 years. The sum is:;Rs. 1200;Rs. 1300;Rs. 1250;Rs. 1150;A,,,,,,,,
A sum of money at simple interest amounts to Rs. 1380 in 3 years and to Rs. 1440 in 4 years. The sum is:;Rs. 1150;Rs. 1250;Rs. 1300;Rs. 1200;D,,,,,,,,
A sum of money at simple interest amounts to Rs. 620 in 2 years and to Rs. 740 in 4 years. The sum is:;Rs. 600;Rs. 500;Rs. 450;Rs. 550;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 560 in 3 years and to Rs. 600 in 5 years. The sum is:;Rs. 450;Rs. 500;Rs. 600;Rs. 550;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 1160 in 4 years and to Rs. 1240 in 6 years. The sum is:;Rs. 1000;Rs. 1100;Rs. 950;Rs. 1050;A,,,,,,,,
A sum of money at simple interest amounts to Rs. 1320 in 4 years and to Rs. 1480 in 6 years. The sum is:;Rs. 1100;Rs. 1050;Rs. 950;Rs. 1000;D,,,,,,,,
A sum of money at simple interest amounts to Rs. 1452 in 3 years and to Rs. 1620 in 5 years. The sum is:;Rs. 1300;Rs. 1200;Rs. 1250;Rs. 1150;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 1120 in 3 years and to Rs. 1200 in 5 years. The sum is:;Rs. 1100;Rs. 950;Rs. 1000;Rs. 1050;C,,,,,,,,
A sum of money at simple interest amounts to Rs. 1210 in 3 years and to Rs. 1280 in 4 years. The sum is:;Rs. 950;Rs. 1000;Rs. 1050;Rs. 1100;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 1860 in 3 years and to Rs. 2100 in 5 years. The sum is:;Rs. 1450;Rs. 1600;Rs. 1500;Rs. 1550;C,,,,,,,,
A sum of money at simple interest amounts to Rs. 605 in 3 years and to Rs. 640 in 4 years. The sum is:;Rs. 600;Rs. 550;Rs. 450;Rs. 500;D,,,,,,,,
A sum of money at simple interest amounts to Rs. 889 in 3 years and to Rs. 952 in 4 years. The sum is:;Rs. 750;Rs. 700;Rs. 650;Rs. 800;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 812 in 2 years and to Rs. 868 in 3 years. The sum is:;Rs. 750;Rs. 700;Rs. 800;Rs. 650;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 1680 in 4 years and to Rs. 1800 in 5 years. The sum is:;Rs. 1250;Rs. 1200;Rs. 1150;Rs. 1300;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 1344 in 3 years and to Rs. 1392 in 4 years. The sum is:;Rs. 1200;Rs. 1250;Rs. 1150;Rs. 1300;A,,,,,,,,
A sum of money at simple interest amounts to Rs. 590 in 2 years and to Rs. 635 in 3 years. The sum is:;Rs. 450;Rs. 500;Rs. 550;Rs. 600;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 744 in 4 years and to Rs. 780 in 5 years. The sum is:;Rs. 650;Rs. 600;Rs. 550;Rs. 700;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 912 in 2 years and to Rs. 968 in 3 years. The sum is:;Rs. 800;Rs. 900;Rs. 750;Rs. 850;A,,,,,,,,
A sum of money at simple interest amounts to Rs. 1016 in 3 years and to Rs. 1088 in 4 years. The sum is:;Rs. 900;Rs. 800;Rs. 750;Rs. 850;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 1830 in 2 years and to Rs. 1995 in 3 years. The sum is:;Rs. 1600;Rs. 1550;Rs. 1450;Rs. 1500;D,,,,,,,,
A sum of money at simple interest amounts to Rs. 1280 in 4 years and to Rs. 1350 in 5 years. The sum is:;Rs. 950;Rs. 1050;Rs. 1000;Rs. 1100;C,,,,,,,,
A sum of money at simple interest amounts to Rs. 1416 in 3 years and to Rs. 1560 in 5 years. The sum is:;Rs. 1150;Rs. 1300;Rs. 1200;Rs. 1250;C,,,,,,,,
A sum of money at simple interest amounts to Rs. 1100 in 2 years and to Rs. 1200 in 4 years. The sum is:;Rs. 950;Rs. 1050;Rs. 1100;Rs. 1000;D,,,,,,,,
A sum of money at simple interest amounts to Rs. 896 in 4 years and to Rs. 945 in 5 years. The sum is:;Rs. 800;Rs. 700;Rs. 650;Rs. 750;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 1740 in 4 years and to Rs. 1860 in 6 years. The sum is:;Rs. 1550;Rs. 1450;Rs. 1600;Rs. 1500;D,,,,,,,,
A sum of money at simple interest amounts to Rs. 992 in 2 years and to Rs. 1088 in 3 years. The sum is:;Rs. 900;Rs. 800;Rs. 850;Rs. 750;B,,,,,,,,
A sum of money at simple interest amounts to Rs. 1320 in 4 years and to Rs. 1400 in 5 years. The sum is:;Rs. 950;Rs. 1100;Rs. 1000;Rs. 1050;C,,,,,,,,
A father's age is 3 times his son's age. If the son is 10 years old now, what will be the sum of their ages after 5 years?;45 years;60 years;55 years;50 years;D,,,,,,,,
A father's age is 3 times his son's age. If the son is 13 years old now, what will be the sum of their ages after 10 years?;77 years;82 years;72 years;67 years;C,,,,,,,,
A father's age is 3 times his son's age. If the son is 9 years old now, what will be the sum of their ages after 5 years?;46 years;56 years;51 years;41 years;A,,,,,,,,
A father's age is 4 times his son's age. If the son is 17 years old now, what will be the sum of their ages after 12 years?;109 years;104 years;119 years;114 years;A,,,,,,,,
A father's age is 3 times his son's age. If the son is 10 years old now, what will be the sum of their ages after 12 years?;59 years;69 years;74 years;64 years;D,,,,,,,,
A father's age is 4 times his son's age. If the son is 14 years old now, what will be the sum of their ages after 10 years?;100 years;90 years;95 years;85 years;B,,,,,,,,
A father's age is 3 times his son's age. If the son is 16 years old now, what will be the sum of their ages after 12 years?;98 years;93 years;83 years;88 years;D,,,,,,,,
A father's age is 4 times his son's age. If the son is 13 years old now, what will be the sum of their ages after 12 years?;94 years;89 years;84 years;99 years;B,,,,,,,,
A father's age is 4 times his son's age. If the son is 16 years old now, what will be the sum of their ages after 5 years?;100 years;85 years;95 years;90 years;D,,,,,,,,
A father's age is 3 times his son's age. If the son is 8 years old now, what will be the sum of their ages after 12 years?;51 years;56 years;66 years;61 years;B,,,,,,,,
A father's age is 3 times his son's age. If the son is 19 years old now, what will be the sum of their ages after 10 years?;91 years;106 years;101 years;96 years;D,,,,,,,,
A father's age is 3 times his son's age. If the son is 12 years old now, what will be the sum of their ages after 5 years?;68 years;63 years;53 years;58 years;D,,,,,,,,
A father's age is 4 times his son's age. If the son is 10 years old now, what will be the sum of their ages after 10 years?;75 years;80 years;70 years;65 years;C,,,,,,,,
A father's age is 3 times his son's age. If the son is 20 years old now, what will be the sum of their ages after 10 years?;100 years;110 years;105 years;95 years;A,,,,,,,,
A father's age is 4 times his son's age. If the son is 12 years old now, what will be the sum of their ages after 12 years?;89 years;84 years;94 years;79 years;B,,,,,,,,
A father's age is 4 times his son's age. If the son is 13 years old now, what will be the sum of their ages after 5 years?;85 years;70 years;80 years;75 years;D,,,,,,,,
A father's age is 4 times his son's age. If the son is 8 years old now, what will be the sum of their ages after 10 years?;70 years;55 years;60 years;65 years;C,,,,,,,,
A father's age is 3 times his son's age. If the son is 19 years old now, what will be the sum of their ages after 12 years?;95 years;105 years;100 years;110 years;C,,,,,,,,
A father's age is 3 times his son's age. If the son is 11 years old now, what will be the sum of their ages after 12 years?;78 years;63 years;68 years;73 years;C,,,,,,,,
A father's age is 4 times his son's age. If the son is 9 years old now, what will be the sum of their ages after 5 years?;50 years;65 years;60 years;55 years;D,,,,,,,,
A father's age is 3 times his son's age. If the son is 18 years old now, what will be the sum of their ages after 12 years?;101 years;106 years;96 years;91 years;C,,,,,,,,
A father's age is 3 times his son's age. If the son is 11 years old now, what will be the sum of their ages after 5 years?;59 years;49 years;64 years;54 years;D,,,,,,,,
A father's age is 3 times his son's age. If the son is 18 years old now, what will be the sum of their ages after 10 years?;97 years;87 years;102 years;92 years;D,,,,,,,,
A father's age is 3 times his son's age. If the son is 15 years old now, what will be the sum of their ages after 12 years?;94 years;79 years;84 years;89 years;C,,,,,,,,
A can do a work in 20 days and B in 20 days. If they work on it together for 5 days, then the fraction of the work that is left is:;2/2;1/3;0/2;1/2;D,,,,,,,,
A can do a work in 10 days and B in 40 days. If they work on it together for 5 days, then the fraction of the work that is left is:;3/8;3/9;4/8;2/8;A,,,,,,,,
A can do a work in 12 days and B in 20 days. If they work on it together for 5 days, then the fraction of the work that is left is:;0/3;1/3;1/4;2/3;B,,,,,,,,
A can do a work in 15 days and B in 24 days. If they work on it together for 4 days, then the fraction of the work that is left is:;18/30;16/30;17/31;17/30;D,,,,,,,,
A can do a work in 10 days and B in 20 days. If they work on it together for 6 days, then the fraction of the work that is left is:;1/10;0/10;1/11;2/10;A,,,,,,,,
A can do a work in 12 days and B in 24 days. If they work on it together for 3 days, then the fraction of the work that is left is:;4/8;5/9;5/8;6/8;C,,,,,,,,
A can do a work in 20 days and B in 40 days. If they work on it together for 6 days, then the fraction of the work that is left is:;10/20;12/20;11/21;11/20;D,,,,,,,,
A can do a work in 12 days and B in 30 days. If they work on it together for 5 days, then the fraction of the work that is left is:;5/13;4/12;6/12;5/12;D,,,,,,,,
A can do a work in 15 days and B in 30 days. If they work on it together for 4 days, then the fraction of the work that is left is:;3/6;4/5;3/5;2/5;C,,,,,,,,
A can do a work in 10 days and B in 24 days. If they work on it together for 6 days, then the fraction of the work that is left is:;4/20;3/21;2/20;3/20;D,,,,,,,,
A can do a work in 15 days and B in 30 days. If they work on it together for 5 days, then the fraction of the work that is left is:;0/2;2/2;1/3;1/2;D,,,,,,,,
A can do a work in 12 days and B in 40 days. If they work on it together for 5 days, then the fraction of the work that is left is:;10/24;11/24;11/25;12/24;B,,,,,,,,
A can do a work in 10 days and B in 40 days. If they work on it together for 3 days, then the fraction of the work that is left is:;4/8;5/8;5/9;6/8;B,,,,,,,,
A can do a work in 10 days and B in 20 days. If they work on it together for 3 days, then the fraction of the work that is left is:;12/20;11/20;10/20;11/21;B,,,,,,,,
A can do a work in 10 days and B in 24 days. If they work on it together for 4 days, then the fraction of the work that is left is:;13/31;13/30;12/30;14/30;B,,,,,,,,
