Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
A train of 240 meters long passes a pole in 24 seconds. How long will it take to pass a platform 650 meters long?;65 sec;89 sec;100 sec;150 sec;B,,,,,,,,
How many seconds will a 500-meter-long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr?;25 sec;30 sec;40 sec;45 sec;B,,,,,,,,
In a 500 m race, the ratio of the speeds of two contestants A and B is 3 : 4. A has a start of 140 m. Then, A wins by:;60 m;40 m;20 m;10 m;C,,,,,,
A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?;40 minutes;1 hour;1 hr 15 min;1 hr 30 min;C,,,,,,,,
Two goods trains each 500 m long are running in opposite directions on parallel tracks at 45 km/hr and 30 km/hr, respectively. The time taken by the slower train to pass the driver of the faster one is:;12 sec;24 sec;48 sec;60 sec;B,,,,,,,
A man sells two buffaloes for Rs. 7,820 each. On one he gains 15% and on the other, he loses 15%. His total gain or loss in the transaction is;2.5% gain;2.25% loss;2% loss;5% loss;B,,,,,,
One ship goes along the stream direction 28 km and in opposite direction 13 km in 5 hrs for each direction. What is the velocity of the stream?;1.5 kmph;2.5 kmph;1.8 kmph;2 kmph;A,,,,,,,,
Which one of the words given below is different from others?;Orange;Grape;Apricot;Raspberry;C,,,,,,,,
Complete the series: 5,20,24,6,2,8, ?;12;32;34;36;A,,
A can have a piece of work done in 8 days, B can work three times faster than A, C can work five times faster than A. How many days will they take to do the work together?;3 days;8/9 days;4 days;None of the above;B,,,,,,
A sum of Rs. 427 is to be divided among A, B, and C in such a way that 3 times A's share, 4 times B's share, and 7 times C's share are all equal. The share of C is;Rs. 84;Rs. 76;Rs. 98;Rs. 34;A,,,,
In a race of 200 m, A can beat B by 31 m and C by 18 m. In a race of 350 m, C will beat B by;22.75 m;25 m;19.5 m;7;A,,,,,,
A man took a loan from a bank at the rate of 12% p.a. simple interest. After 3 years, he had to pay Rs. 5400 as interest only for the period. The principal amount borrowed by him was;Rs. 2000;Rs. 10,000;Rs. 15,000;Rs. 20,000;C,,,,
A man walked diagonally across a square lot. Approximately, what was the percent saved by not walking along the edges?;20%;24%;30%;33%;C,,,,,,,
How much time will the leak take to empty the full cistern? (I. The cistern is normally filled in 9 hours. II. It takes one hour more than usual to fill the cistern because of the leak.);I alone sufficient;II alone sufficient;Either I or II alone;Both I and II are necessary;D,,,,,,,,
A metallic sheet is of rectangular shape with dimensions 48 m x 36 m. From each of its corners, a square is cut off to make an open box. If the length of the square is 8 m, the volume of the box is:;4830 m³;5120 m³;6420 m³;8960 m³;B,,,,,,
Three candidates contested an election and received 1136,7636, and 11628 votes respectively. What percentage of the total votes did the winning candidate get?;57%;60%;65%;90%;A,,,,,,
A man buys a watch for Rs. 1950 in cash and sells it for Rs. 2200 at a credit of 1 year. If the rate of interest is 10% per annum, the man:;gains Rs. 55;gains Rs. 50;loses Rs. 30;gains Rs. 30;B,,,,,,,
An error of 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area is:;2%;2.02%;4%;4.04%;D,,,,,,,,
The ratio between the length and breadth of a rectangular park is 3:2. If a man cycling along the boundary at 12 km/hr completes one round in 8 minutes, the area of the park is:;15360 sq. m;153600 sq. m;30720 sq. m;307200 sq. m;B,,,,,,,
The slant height of a right circular cone is 10 m and its height is 8 m. Find the area of its curved surface:;30 m²;40 m²;60 m²;80 m²;C,,,,,,,,
Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively, and they cross each other in 23 seconds. The ratio of their speeds is:;1:3;3:2;3:4;None of these;B,,,,,,,
A man sells two buffaloes for Rs. 7,820 each. On one he gains 15% and on the other, he loses 15%. His total gain or loss in the transaction is:;2.5% gain;2.25% loss;2% loss;5% loss;B,,,,,,
A man wants to sell his scooter. There are two offers, one at Rs. 12,000 cash and the other a credit of Rs. 12,880 to be paid after 8 months, money being at 18% per annum. Which is the better offer?;Rs. 12,000 in cash;Rs. 12,880 at credit;Both are equally good;NIL;A,,
A man standing at a point P is watching the top of a tower, which makes an angle of elevation of 30º with the man's eye. The man walks some distance towards the tower to watch its top and the angle of the elevation becomes 60º. What is the distance between the base of the tower and the point P?;43 units;8 units;12 units;Data inadequate;D,,,,,,,
Two dice are tossed. The probability that the total score is a prime number is:;1;5/12;1/2;7/9;B,,,,,,,,
The cost price of a Rs. 100 stock at 4% discount, when brokerage is 1/4%, is:;Rs. 95.75;Rs. 96;Rs. 96.25;Rs. 104.25;C,,,,,,
If 40% of a number is equal to two-thirds of another number, what is the ratio of the first number to the second number?;2:5;3:7;5:3;7:3;C,,,,,,,
In a bag, there are coins of 25 p, 10 p, and 5 p in the ratio of 1:2:3. If there is Rs. 30 in all, how many 5 p coins are there?;50;100;150;200;C,,,,
A fires 5 shots to B's 3, but A kills only once in 3 shots while B kills once in 2 shots. When B has missed 27 times, A has killed:;30 birds;60 birds;72 birds;90 birds;A,,,,,,
A train covers a certain distance at a speed of 300 km/hr, and the same distance at 200 km/hr. Find the average speed of the train:;240 km/hr;225 km/hr;250 km/hr;275 km/hr;A,,,,,,,
Two students appeared at an examination. One of them secured 9 marks more than the other, and his marks were 56% of the sum of their marks. What are the marks obtained by them?;42, 33;42, 36;44, 33;44, 36;A,,,
Two trains are running in opposite directions at 60 km/hr and 90 km/hr. If the length of each train is 500 m, how long will it take for the trains to cross each other?;20 sec;25 sec;30 sec;35 sec;A,,,,,,,
A certain amount earns simple interest of Rs. 1200 after 10 years. Had the interest been 2% more, how much more interest would it have earned?;Rs. 25;None of these;Rs. 120;Cannot be determined;C,,,,,,,
A man took a loan from a bank at the rate of 8% p.a. simple interest. After 4 years he had to pay Rs. 6200 as interest only for the period. The principal amount borrowed by him was:;Rs. 17322;Rs. 20245;Rs. 18230;Rs. 19375;C,,,,,,,,
A and B can do a piece of work in 45 days and 40 days, respectively. They began to work together, but A leaves after some days and B completes the remaining work in 23 days. After how many days did A leave?;9;11;12;15;A,,,,,,
The sum of ages of 5 children born at intervals of 3 years each is 50 years. What is the age of the youngest child?;4 years;8 years;10 years;None of these;A,,,,,,,,
"A father said to his son, ""I was as old as you are at the present at the time of your birth"". If the father's age is 38 years now, the son's age five years back was:;14 years;19 years;33 years;38 years;A",,,,,,,,
A sum of Rs. 1360 has been divided among A, B, and C such that A gets 1/2 of what B gets, and B gets 1/3 of what C gets. B's share is:;Rs. 120;Rs. 160;Rs. 240;Rs. 300;C,,,,,
A man can swim downstream at 6 km/hr and upstream at 2 km/hr. His speed in still water is:;4 km/hr;2 km/hr;6 km/hr;1 km/hr;A,,,,,,,,
Robert is traveling on his cycle and has calculated to reach point A at 2 P.M. if he travels at 10 kmph, he will reach there at 12 noon if he travels at 15 kmph. At what speed must he travel to reach A at 1 P.M.?;8 kmph;11 kmph;12 kmph;14 kmph;C,,,,,,,
A man rows to a place 48 km distant and comes back in 14 hours. He finds that he can row 4 km with the stream in the same time as 3 km against the stream. The rate of the stream is:;1 km/hr;1.5 km/hr;2 km/hr;2.5 km/hr;A,,,,,,,,
In what ratio must a grocer mix two varieties of pulses costing Rs. 15 and Rs. 20 per kg respectively so as to get a mixture worth Rs. 16.50 per kg?;3:7;5:7;7:3;7:5;C,,,,,,,,
A, B, and C can do a piece of work in 20,30, and 60 days, respectively. In how many days can A do the work if he is assisted by B and C on every third day?;12 days;15 days;16 days;18 days;B,,,
Two trains are running at 40 km/hr and 20 km/hr respectively in the same direction. The fast train completely passes a man sitting in the slower train in 5 seconds. What is the length of the fast train?;23 m;27 m;29 m;50 m;B,,,,,,,,
A train moves past a telegraph post and a bridge 264 m long in 8 seconds and 20 seconds respectively. What is the speed of the train?;69.5 km/hr;70 km/hr;79 km/hr;79.2 km/hr;D,,,,,,,,
How many seconds will a 500-meter long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr?;25;30;40;45;B,,,,,,,,
The salaries of A, B, and C are in the ratio 2 : 3 : 5. If increments of 15%,10%, and 20% are allowed respectively in their salaries, what will be the new ratio of their salaries?;3:3:10;10:11:20;23:33:60;Cannot be determined;C,,,
Two goods trains each 500 m long are running in opposite directions on parallel tracks at 45 km/hr and 30 km/hr respectively. The time taken by the slower train to pass the driver of the faster one is:;12 sec;24 sec;48 sec;60 sec;B,,,,,,,,
A train overtakes two persons walking along a railway track. The first one walks at 4.5 km/hr, and the other at 5.4 km/hr. The train needs 8.4 and 8.5 seconds respectively to overtake them. What is the speed of the train?;66 km/hr;72 km/hr;78 km/hr;81 km/hr;D,,,,,,,
What is the volume of a 32-meter high cylindrical tank?;4928 m³;4820 m³;5040 m³;4600 m³;A,,,,,,,,
A, B, and C subscribe Rs. 50,000 for a business. A subscribes Rs. 4000 more than B and B Rs. 5000 more than C. Out of a total profit of Rs. 35,0, A receives:;Rs. 8400;Rs. 11,900;Rs. 13,600;Rs. 14,700;D
The present worth of Rs. 2310 due 2 years hence, the rate of interest being 15% per annum, is:;Rs. 1750;Rs. 1680;Rs. 1840;Rs. 1443.75;B,,,,,,
The average age of husband, wife, and their child 3 years ago was 27 years, and that of the wife and the child 5 years ago was 20 years. The present age of the husband is:;35 years;40 years;50 years;None of these;B,,,,,
The price of 2 sarees and 4 shirts is Rs. 1600. With the same money, one can buy 1 saree and 6 shirts. If one wants to buy 12 shirts, how much shall he have to pay?;Rs. 1200;Rs. 2400;Rs. 4800;Cannot be determined;B,,,,,,
A sum of Rs. 725 is lent in the beginning of a year at a certain rate of interest. After 8 months, a sum of Rs. 362.50 more is lent but at the rate twice the former. At the end of the year, Rs. 33.50 is earned as interest from both loans. What was the original rate of interest?;3.60%;4.50%;5%;6%;C,,,,,,
The ratio between the length and breadth of a rectangular park is 3:2. If a man cycling along the boundary of the park at 12 km/hr completes one round in 8 minutes, the area of the park (in sq. m) is:;15360;153600;30720;307200;B,,,,,,,
The product of two numbers is 120, and the sum of their squares is 289. The sum of the numbers is:;20;23;169;None of these;B,,,,,,,
The banker's discount of a certain sum of money is Rs. 72 and the true discount on the same sum for the same time is Rs. 60. The sum due is:;Rs. 360;Rs. 432;Rs. 540;Rs. 1080;A,,,,,,,,
A bag contains 6 black and 8 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;3/7;4/7;1/8;3/8;B,,,,,,,,
What is the remainder when 17^200 is divided by 18?;1;17;16;0;A,,,,,,,,
If 15 men can reap a field in 35 days, then in how many days can 21 men reap the same field?;20;25;30;35;B,,,,,,,,
A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20%?;3;4;5;6;C,,,,,,,,
In what ratio must water be mixed with milk to gain 16 2/3% on selling the mixture at cost price?;1:6;6:1;2:3;4:3;A,,,,,,,,
The difference between simple interest and compound interest on Rs. 1200 for one year at 10% per annum reckoned half-yearly is:;Rs. 2.50;Rs. 3;Rs. 3.75;Rs. 4;B,,,,,,,,
The angle between the minute hand and the hour hand of a clock when the time is 8:30 is:;80º;75º;60º;105º;B,,,,,,,,
What was the day of the week on 28th May, 2006?;Thursday;Friday;Saturday;Sunday;D,,,,,,,,
A completes a work in 12 days, B in 15 days. They work together for 4 days, then A leaves. How many more days will B take to finish?;7;8;9;10;A,,,,,,,,
If the radius of a circle is increased by 50%, its area is increased by:;125%;100%;75%;50%;A,,,,,,,,
A sum of money doubles itself at compound interest in 15 years. It will become eight times itself in:;30 years;40 years;45 years;60 years;C,,,,,,,,
The speed of a boat in still water is 15 km/hr and the rate of current is 3 km/hr. The distance travelled downstream in 12 minutes is:;1.2 km;1.8 km;2.4 km;3.6 km;D,,,,,,,,
Two numbers are 20% and 50% more than a third number respectively. The ratio of the two numbers is:;2:5;3:5;4:5;6:7;C,,,,,,,,
The average of first 50 odd natural numbers is:;50;51;52;49;A,,,,,,,,
A fruit seller had some apples. He sells 40% apples and still has 420 apples. Originally, he had:;588 apples;600 apples;672 apples;700 apples;D,,,,,,,,
Which of the following is not a leap year?;700;800;1200;2000;A,,,,,,,,
Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?;(1/3);(1/8);(2/8);(1/16);B,,,,,,,,
SCD, TEF, UGH, ____, WKL;CMN;UJI;VIJ;IJT;C,,,,,,,,
Odometer is to mileage as compass is to:;speed;hiking;needle;direction;D,,,,,,,,
Pointing to a photograph of a boy Suresh said, 'He is the son of the only son of my mother.' How is Suresh related to that boy?;Brother;Uncle;Cousin;Father;D,,,,,,,,
If A + B means A is the brother of B; A x B means A is the husband of B; A - B means A is the mother of B and A % B means A is the father of B, which of the following relations shows that Q is the grandmother of T?;Q - P + R % T;Q x P + R - T;Q - P % R + T;None of these;A,,,,,,,,
Choose the word which is different from the rest.;Curd;Butter;Oil;Cheese;C,,,,,,,,
In a certain code language, '134' means 'good and tasty'; '478' means 'see good pictures' and '729' means 'pictures are faint'. Which of the following digits stands for 'see'?;9;2;1;8;D,,,,,,,,
If Z = 52 and ACT = 48, then BAT will be equal to:;39;41;44;46;D,,,,,,,,
Find the odd one out: 3, 5, 11, 14, 17, 21;14;11;21;3;A,,,,,,,,
A man covers half of his journey at 6 km/h and the remaining half at 3 km/h. His average speed is:;4 km/h;4.5 km/h;5 km/h;3 km/h;A,,,,,,,,
If a pipe can fill a tank in 10 hours and a leak can empty it in 15 hours, how long will it take to fill the tank if both are open?;20 hours;25 hours;30 hours;35 hours;C,,,,,,,,
The sum of the digits of a two-digit number is 15 and the difference between the digits is 3. What is the two-digit number?;69;96;Cannot be determined;None of these;C,,,,,,,,
A starts business with Rs. 3500 and after 5 months, B joins with A as his partner. After a year, the profit is divided in the ratio 2 : 3. What is B's contribution in the capital?;Rs. 7500;Rs. 8000;Rs. 8500;Rs. 9000;D,,,,,,,,
What is the smallest prime number?;0;1;2;3;C,,,,,,,,
How many terms are there in the G.P. 3, 6, 12, 24, ..., 384?;8;9;10;11;A,,,,,,,,
An observer 2 m tall is 10 * sqrt(3) m away from a tower. The angle of elevation from his eye to the top of the tower is 30 degrees. The height of the tower is:;12 m;14 m;10 m;20 m;A,,,,,,,,
Insert the missing number: 16, 33, 65, 131, 261, (...);523;521;613;721;A,,,,,,,,
Elated is to despondent as enlightened is to:;aware;ignorant;miserable;tolerant;B,,,,,,,,
Which word does NOT belong with the others?;parsley;basil;dill;mayonnaise;D,,,,,,,,
Find the odd man out: 396, 462, 572, 427, 671, 264;396;427;671;264;B,,,,,,,,
A man goes to his office from his house at a speed of 3 km/hr and returns at a speed of 2 km/hr. If he takes 5 hours in going and coming, the distance between his house and office is:;3 km;4 km;5 km;6 km;D,,,,,,,,
What least number must be added to 1056 so that the sum is completely divisible by 23?;2;3;18;21;B,,,,,,,,
If the length of a rectangle is halved and its breadth is tripled, what is the percentage change in its area?;25% increase;50% increase;50% decrease;75% decrease;B,,,,,,,,
If 5 men or 9 women can do a piece of work in 19 days, then in how many days will 3 men and 6 women do the same work?;10;12;15;18;C,,,,,,,,
A mixture of 150 liters of wine and water contains 20% water. How much more water should be added so that water becomes 25% of the new mixture?;10 liters;15 liters;20 liters;25 liters;A,,,,,,,,
Find the simple interest on Rs. 68,000 at 16 2/3 % per annum for 9 months.;Rs. 8500;Rs. 9000;Rs. 9500;Rs. 10000;A,,,,,,,,
A sum of money placed at compound interest doubles itself in 5 years. It will amount to eight times itself at the same rate of interest in:;10 years;15 years;20 years;25 years;B,,,,,,,,
How many times are the hands of a clock at a right angle in a day?;22;24;44;48;C,,,,,,,,
On what dates of April 2001 did Wednesday fall?;1st 8th 15th 22nd 29th;2nd 9th 16th 23rd 30th;3rd 10th 17th 24th;4th 11th 18th 25th;D,,,,,,,,
Out of 7 consonants and 4 vowels, how many words of 3 consonants and 2 vowels can be formed?;210;1050;25200;21400;C,,,,,,,,
What is the probability of getting a sum 9 from two throws of a dice?;1/6;1/8;1/9;1/12;C,,,,,,,,
The true discount on a bill due 9 months hence at 16% per annum is Rs. 189. The amount of the bill is:;Rs. 1389;Rs. 1764;Rs. 1575;Rs. 2268;B,,,,,,,,
Which of the following numbers is completely divisible by 99?;3572404;135792;913464;114345;D,,,,,,,,
Find the greatest number that will divide 43, 91 and 183 so as to leave the same remainder in each case.;4;7;9;13;A,,,,,,,,
What is the value of 100 + 50 * 2?;200;300;250;150;A,,,,,,,,
In a certain code, COMPUTER is written as RFUVQNPC. How is MEDICINE written in the same code?;MFEDJJOE;EOJDEJFM;MFEJDJOE;EOJDJEFM;D,,,,,,,,
Three numbers are in the ratio 1:2:3 and their HCF is 12. The numbers are:;12 24 36;11 22 33;12 24 32;5 10 15;A,,,,,,,,
A takes twice as much time as B or thrice as much time as C to finish a piece of work. Working together, they can finish the work in 2 days. B can do the work alone in:;4 days;6 days;8 days;12 days;B,,,,,,,,
A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:;45 km/hr;50 km/hr;54 km/hr;55 km/hr;B,,,,,,,,
A trader mixes 26 kg of rice at Rs. 20 per kg with 30 kg of rice of other variety at Rs. 36 per kg and sells the mixture at Rs. 30 per kg. His profit percent is:;No profit no loss;5%;8%;10%;5%;B,,,,,,,,
If the true discount on sum due 2 years hence at 14% per annum be Rs. 168, the sum due is:;Rs. 768;Rs. 968;Rs. 1960;Rs. 2400;A,,,,,,,,
Pipe A can fill a tank in 5 hours, pipe B in 10 hours and pipe C in 30 hours. If all the pipes are open, in how many hours will the tank be filled?;2;2.5;3;3.5;C,,,,,,,,
Find the odd one out: 8, 27, 64, 100, 125, 216, 343;27;100;125;343;B,,,,,,,,
A boat can travel with a speed of 13 km/hr in still water. If the speed of the stream is 4 km/hr, find the time taken by the boat to go 68 km downstream.;2 hours;3 hours;4 hours;5 hours;C,,,,,,,,
A bag contains 14 blue and 8 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;7/22;14/22;3/22;8/22;D,,,,,,,,
Find the simple interest on Rs. 87800 at 5% per annum for 8 years.;35120;34640;35600;35440;A,,,,,,,,
