Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {24, 33, 41, 46},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;Compile Error 36;33;24;46;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {94, 100, 107, 121},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;107;94;100;121;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {55, 63, 72, 81},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;72;55;81;63;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {80, 85, 94, 107},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;85;80;94;107;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {65, 74, 85, 95},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;95;74;85;65;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {76, 77, 86, 101},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;86;77;76;101;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {59, 60, 74, 89},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;89;74;60;59;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {49, 53, 65, 76},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;49;76;53;65;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {82, 92, 100, 110},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;82;100;92;110;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {20, 25, 34, 48},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;20;48;25;34;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {18, 22, 29, 48},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;29;48;18;22;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {54, 60, 67, 78},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;60;54;67;78;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {85, 87, 95, 112},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;112;95;85;87;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {35, 38, 54, 63},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;38;54;35;63;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {87, 97, 105, 113},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;97;Compile Error 36;87;113;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {59, 60, 73, 84},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;60;84;59;Compile Error 41;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {78, 81, 96, 99},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;81;78;96;99;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {27, 32, 39, 54},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;27;54;32;39;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {30, 32, 45, 55},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;30;55;32;45;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 4,<br>print(a >> b),</code>;16;0;8;6;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 8,<br>print(a ^ b),</code>;26;32;7;12;D,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 8,<br>int b = 4,<br>print(a & b),</code>;39;12;32;0;D,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 4,<br>print(a ^ b),</code>;31;75;8;6;D,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 1,<br>print(a >> b),</code>;4;5;2;24;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 2,<br>print(a & b),</code>;52;2;4;9;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 4,<br>print(a & b),</code>;17;4;16;8;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 2,<br>print(a ^ b),</code>;8;21;39;6;D,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 8,<br>int b = 2,<br>print(a >> b),</code>;10;2;32;16;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 8,<br>print(a | b),</code>;10;16;0;6;A,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 2,<br>print(a | b),</code>;4;2;0;33;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 8,<br>print(a << b),</code>;1024;88;32;12;A,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 8,<br>int b = 8,<br>print(a >> b),</code>;0;64;16;22;A,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 8,<br>print(a >> b),</code>;79;16;10;0;D,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 8,<br>int b = 8,<br>print(a ^ b),</code>;32;64;0;16;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 8,<br>int b = 8,<br>print(a << b),</code>;16;2048;64;28;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 16,<br>int b = 4,<br>print(a ^ b),</code>;37;20;1;64;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 2,<br>print(a ^ b),</code>;4;19;0;79;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 2,<br>print(a & b),</code>;6;0;26;8;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 4,<br>print(a | b),</code>;6;8;98;14;A,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 8,<br>int b = 1,<br>print(a ^ b),</code>;21;9;8;17;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 16,<br>int b = 4,<br>print(a >> b),</code>;20;1;64;0;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 8,<br>print(a & b),</code>;12;0;32;14;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 1,<br>print(a ^ b),</code>;2;20;12;3;D,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 8,<br>int b = 4,<br>print(a | b),</code>;12;76;22;32;A,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 16,<br>int b = 2,<br>print(a >> b),</code>;18;32;4;12;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 2,<br>print(a | b),</code>;31;29;8;6;D,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 4,<br>print(a | b),</code>;8;16;6;4;D,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 16,<br>int b = 1,<br>print(a >> b),</code>;16;17;8;1;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 16,<br>int b = 4,<br>print(a | b),</code>;64;20;30;29;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 8,<br>int b = 2,<br>print(a ^ b),</code>;5;10;15;16;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 2,<br>print(a >> b),</code>;12;8;1;6;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 1,<br>print(a | b),</code>;5;4;0;94;A,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 2,<br>print(a << b),</code>;4;70;8;3;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 4,<br>int b = 8,<br>print(a >> b),</code>;0;12;32;11;A,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 1,<br>print(a & b),</code>;23;2;0;3;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 8,<br>int b = 1,<br>print(a << b),</code>;19;9;16;8;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 16,<br>int b = 2,<br>print(a << b),</code>;32;29;64;18;C,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 8,<br>int b = 8,<br>print(a | b),</code>;64;0;16;8;D,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 16,<br>int b = 1,<br>print(a ^ b),</code>;16;17;92;11;B,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 16,<br>int b = 1,<br>print(a & b),</code>;0;16;28;17;A,,,,,,,,
What is the output of the bitwise operation?<br><code>int a = 2,<br>int b = 8,<br>print(a & b),</code>;3;16;0;10;C,,,,,,,,
Which of the following describes Polymorphism in Object-Oriented Programming? (Variation 0);Having many forms of a method;None of the above;Memory allocation;Restricting access to variables;A,,,,,,,,
Which of the following describes Encapsulation in Object-Oriented Programming? (Variation 1);Wrapping data and functions into a single unit;Hiding implementation details;Creating multiple forms of a function;None of the above;A,,,,,,,,
Which of the following describes Inheritance in Object-Oriented Programming? (Variation 2);None of the above;Function overloading;Hiding implementation details;Acquiring properties of an existing class;D,,,,,,,,
Which of the following describes Polymorphism in Object-Oriented Programming? (Variation 3);None of the above;Memory allocation;Restricting access to variables;Having many forms of a method;D,,,,,,,,
Which of the following describes Abstraction in Object-Oriented Programming? (Variation 4);Hiding the implementation complexity;Wrapping data and functions;Combining multiple classes;None of the above;A,,,,,,,,
Which of the following describes Inheritance in Object-Oriented Programming? (Variation 5);Function overloading;None of the above;Acquiring properties of an existing class;Hiding implementation details;C,,,,,,,,
Which of the following describes Abstraction in Object-Oriented Programming? (Variation 6);Wrapping data and functions;Hiding the implementation complexity;Combining multiple classes;None of the above;B,,,,,,,,
Which of the following describes Polymorphism in Object-Oriented Programming? (Variation 7);Restricting access to variables;None of the above;Having many forms of a method;Memory allocation;C,,,,,,,,
Which of the following describes Encapsulation in Object-Oriented Programming? (Variation 8);Creating multiple forms of a function;Wrapping data and functions into a single unit;Hiding implementation details;None of the above;B,,,,,,,,
Which of the following describes Encapsulation in Object-Oriented Programming? (Variation 9);Creating multiple forms of a function;Wrapping data and functions into a single unit;None of the above;Hiding implementation details;B,,,,,,,,
Which of the following describes Encapsulation in Object-Oriented Programming? (Variation 10);Creating multiple forms of a function;Wrapping data and functions into a single unit;Hiding implementation details;None of the above;B,,,,,,,,
Which of the following describes Inheritance in Object-Oriented Programming? (Variation 11);Hiding implementation details;Acquiring properties of an existing class;Function overloading;None of the above;B,,,,,,,,
Which of the following describes Inheritance in Object-Oriented Programming? (Variation 12);Hiding implementation details;Acquiring properties of an existing class;None of the above;Function overloading;B,,,,,,,,
Which of the following describes Encapsulation in Object-Oriented Programming? (Variation 13);None of the above;Creating multiple forms of a function;Hiding implementation details;Wrapping data and functions into a single unit;D,,,,,,,,
Which of the following describes Abstraction in Object-Oriented Programming? (Variation 14);Wrapping data and functions;Combining multiple classes;None of the above;Hiding the implementation complexity;D,,,,,,,,
Which of the following describes Inheritance in Object-Oriented Programming? (Variation 15);None of the above;Hiding implementation details;Acquiring properties of an existing class;Function overloading;C,,,,,,,,
Which of the following describes Polymorphism in Object-Oriented Programming? (Variation 16);Restricting access to variables;Memory allocation;None of the above;Having many forms of a method;D,,,,,,,,
Which of the following describes Abstraction in Object-Oriented Programming? (Variation 17);Wrapping data and functions;Hiding the implementation complexity;Combining multiple classes;None of the above;B,,,,,,,,
Which of the following describes Polymorphism in Object-Oriented Programming? (Variation 18);Memory allocation;None of the above;Restricting access to variables;Having many forms of a method;D,,,,,,,,
Which of the following describes Encapsulation in Object-Oriented Programming? (Variation 19);Hiding implementation details;Creating multiple forms of a function;Wrapping data and functions into a single unit;None of the above;C,,,,,,,,
Which of the following describes Abstraction in Object-Oriented Programming? (Variation 20);Wrapping data and functions;Hiding the implementation complexity;None of the above;Combining multiple classes;B,,,,,,,,
Which of the following describes Abstraction in Object-Oriented Programming? (Variation 21);Hiding the implementation complexity;None of the above;Combining multiple classes;Wrapping data and functions;A,,,,,,,,
Which of the following describes Inheritance in Object-Oriented Programming? (Variation 22);Hiding implementation details;Acquiring properties of an existing class;Function overloading;None of the above;B,,,,,,,,
Which of the following describes Polymorphism in Object-Oriented Programming? (Variation 23);Memory allocation;None of the above;Restricting access to variables;Having many forms of a method;D,,,,,,,,
Which of the following describes Inheritance in Object-Oriented Programming? (Variation 24);Function overloading;None of the above;Acquiring properties of an existing class;Hiding implementation details;C,,,,,,,,
Which of the following describes Abstraction in Object-Oriented Programming? (Variation 25);Hiding the implementation complexity;Wrapping data and functions;None of the above;Combining multiple classes;A,,,,,,,,
Which of the following describes Encapsulation in Object-Oriented Programming? (Variation 26);Wrapping data and functions into a single unit;Creating multiple forms of a function;None of the above;Hiding implementation details;A,,,,,,,,
Which of the following describes Polymorphism in Object-Oriented Programming? (Variation 27);None of the above;Restricting access to variables;Having many forms of a method;Memory allocation;C,,,,,,,,
Which of the following describes Encapsulation in Object-Oriented Programming? (Variation 28);Creating multiple forms of a function;Wrapping data and functions into a single unit;None of the above;Hiding implementation details;B,,,,,,,,
Which of the following describes Polymorphism in Object-Oriented Programming? (Variation 29);Memory allocation;Restricting access to variables;None of the above;Having many forms of a method;D,,,,,,,,
Which of the following describes Polymorphism in Object-Oriented Programming? (Variation 30);None of the above;Having many forms of a method;Restricting access to variables;Memory allocation;B,,,,,,,,
Which of the following describes Abstraction in Object-Oriented Programming? (Variation 31);Hiding the implementation complexity;Combining multiple classes;Wrapping data and functions;None of the above;A,,,,,,,,
Which of the following describes Inheritance in Object-Oriented Programming? (Variation 32);Hiding implementation details;None of the above;Function overloading;Acquiring properties of an existing class;D,,,,,,,,
Which of the following describes Abstraction in Object-Oriented Programming? (Variation 33);Wrapping data and functions;Hiding the implementation complexity;Combining multiple classes;None of the above;B,,,,,,,,
Which of the following describes Inheritance in Object-Oriented Programming? (Variation 34);Hiding implementation details;None of the above;Function overloading;Acquiring properties of an existing class;D,,,,,,,,
Which of the following describes Polymorphism in Object-Oriented Programming? (Variation 35);Memory allocation;Having many forms of a method;None of the above;Restricting access to variables;B,,,,,,,,
Which of the following describes Inheritance in Object-Oriented Programming? (Variation 36);None of the above;Acquiring properties of an existing class;Function overloading;Hiding implementation details;B,,,,,,,,
