Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
Which relationship does Inheritance generally represent?;Has-A relationship;Is-A relationship;Uses-A relationship;Part-Of relationship;B,,,,,,,,
Can a Java abstract class be instantiated directly using the 'new' keyword?;Yes, always;Only if it has no abstract methods;No, it cannot be instantiated directly;Yes, but only by its subclasses;C,,,,,,,,
Which data structure is based on the LIFO (Last In First Out) principle?;Queue;Stack;Linked List;Tree;B,,,,,,,,
What is the worst-case time complexity of accessing an element in an unsorted Unlinked List by index?;O(1);O(log n);O(n);O(n^2);C,,,,,,,,
In a complete binary tree with 'N' nodes, what is the height of the tree?;O(N);O(N log N);O(log N);O(1);C,,,,,,,,
Which search algorithm requires the array to be sorted beforehand?;Linear Search;Binary Search;Breadth-First Search;Depth-First Search;B,,,,,,,,
Which software development lifecycle (SDLC) model is purely sequential and requires strict documentation at each phase?;Agile Model;Spiral Model;Waterfall Model;V-Model;C,,,,,,,,
What does 'Coupling' refer to in software engineering?;The internal cohesion of a single module;The degree of interdependence between software modules;The process of linking a database;The process of code compilation;B,,,,,,,,
Which testing phase ensures that individual units of the software work correctly?;System Testing;Integration Testing;Unit Testing;Acceptance Testing;C,,,,,,,,
In Agile methodology, what is a 'Sprint'?;A bug-fixing session;A continuous delivery pipeline;A time-boxed iteration of software development usually lasting 1-4 weeks;A team meeting to discuss architecture;C,,,,,,,,
Which memory component acts as a high-speed buffer between the CPU and main memory?;Hard Drive;ROM;Cache Memory;Virtual Memory;C,,,,,,,,
Observe the relational schema diagram:<br><img src='images/vis_1d474ae6.svg' style='max-width:100%,'><br>What does the arrow from 'DeptID (FK)' in the Employee table to 'DeptID' in the Department table represent?;A One-to-One relationship;A Foreign Key acting as a Referential Integrity constraint;A Primary Key constraint on the Employee table;A Join Query output;B,,,,,,,,
Consider the network topology with a device labeled R1:<br><img src='images/vis_143d4c76.svg' style='max-width:100%,'><br>If R1 operates up to Layer 3 of the OSI model, what type of network device is R1 most likely to be?;Hub;Switch;Router;Bridge;C,,,,,,,,
Analyze the stack diagram. The operations Push(C) followed by Pop() are performed sequentially.<br><img src='images/vis_582dec3b.svg' style='max-width:100%,'><br>After these operations, which element is at the top of the stack?;A;B;C;Empty Stack;B,,,,,,,,
Which network class does the IP address 247.246.107.17 belong to?;Class E;Class C;Class D;Class A;A,,,,,,,,
Which network class does the IP address 233.22.198.47 belong to?;Class D;Class B;Class C;Class E;A,,,,,,,,
Which network class does the IP address 232.3.153.88 belong to?;Class E;Class D;Class C;Class A;B,,,,,,,,
Which network class does the IP address 233.156.231.52 belong to?;Class E;Class A;Class D;Class C;C,,,,,,,,
Which network class does the IP address 231.110.156.34 belong to?;Class E;Class A;Class D;Class B;C,,,,,,,,
Which network class does the IP address 203.227.36.55 belong to?;Class D;Class C;Class B;Class A;B,,,,,,,,
Which network class does the IP address 27.213.75.61 belong to?;Class E;Class C;Class B;Class A;D,,,,,,,,
Which network class does the IP address 89.25.145.140 belong to?;Class A;Class C;Class E;Class D;A,,,,,,,,
Which network class does the IP address 234.112.79.151 belong to?;Class C;Class D;Class E;Class A;B,,,,,,,,
Which network class does the IP address 246.144.131.181 belong to?;Class E;Class C;Class B;Class A;A,,,,,,,,
Which network class does the IP address 166.167.103.64 belong to?;Class E;Class D;Class A;Class B;D,,,,,,,,
Which network class does the IP address 158.240.225.250 belong to?;Class D;Class B;Class C;Class A;B,,,,,,,,
Which network class does the IP address 59.17.108.92 belong to?;Class A;Class E;Class C;Class D;A,,,,,,,,
Which network class does the IP address 230.14.3.56 belong to?;Class A;Class C;Class D;Class B;C,,,,,,,,
Which network class does the IP address 11.213.135.200 belong to?;Class C;Class D;Class E;Class A;D,,,,,,,,
Which network class does the IP address 222.199.249.153 belong to?;Class C;Class E;Class D;Class A;A,,,,,,,,
Which network class does the IP address 117.136.58.223 belong to?;Class E;Class B;Class A;Class D;C,,,,,,,,
Which network class does the IP address 233.151.113.252 belong to?;Class C;Class D;Class B;Class E;B,,,,,,,,
Which network class does the IP address 237.61.66.136 belong to?;Class A;Class B;Class D;Class C;C,,,,,,,,
Which network class does the IP address 167.66.174.131 belong to?;Class A;Class E;Class C;Class B;D,,,,,,,,
Which network class does the IP address 226.221.11.31 belong to?;Class D;Class C;Class B;Class A;A,,,,,,,,
Which network class does the IP address 14.16.57.70 belong to?;Class E;Class D;Class A;Class B;C,,,,,,,,
Which network class does the IP address 66.90.129.154 belong to?;Class B;Class A;Class D;Class C;B,,,,,,,,
Which network class does the IP address 243.194.249.242 belong to?;Class D;Class B;Class A;Class E;D,,,,,,,,
Which network class does the IP address 227.122.190.65 belong to?;Class E;Class B;Class A;Class D;D,,,,,,,,
Which network class does the IP address 125.141.58.112 belong to?;Class B;Class D;Class C;Class A;D,,,,,,,,
Which network class does the IP address 239.164.71.115 belong to?;Class C;Class D;Class E;Class A;B,,,,,,,,
Which network class does the IP address 209.202.170.208 belong to?;Class E;Class C;Class B;Class A;B,,,,,,,,
Which network class does the IP address 24.93.234.227 belong to?;Class B;Class D;Class A;Class C;C,,,,,,,,
Which network class does the IP address 234.54.142.44 belong to?;Class E;Class D;Class A;Class B;B,,,,,,,,
Which network class does the IP address 135.138.185.224 belong to?;Class B;Class C;Class D;Class A;A,,,,,,,,
Which network class does the IP address 238.174.83.106 belong to?;Class D;Class E;Class A;Class B;A,,,,,,,,
Which network class does the IP address 249.135.165.45 belong to?;Class A;Class E;Class D;Class C;B,,,,,,,,
Which network class does the IP address 106.220.22.121 belong to?;Class D;Class E;Class C;Class A;D,,,,,,,,
Which network class does the IP address 56.139.214.34 belong to?;Class C;Class E;Class A;Class D;C,,,,,,,,
Which network class does the IP address 253.110.135.223 belong to?;Class D;Class C;Class E;Class B;C,,,,,,,,
Which network class does the IP address 254.69.16.107 belong to?;Class C;Class D;Class E;Class A;C,,,,,,,,
Which network class does the IP address 247.115.239.105 belong to?;Class C;Class E;Class A;Class B;B,,,,,,,,
Which network class does the IP address 238.95.57.109 belong to?;Class D;Class A;Class E;Class B;A,,,,,,,,
Which network class does the IP address 243.21.61.191 belong to?;Class E;Class C;Class B;Class D;A,,,,,,,,
Which network class does the IP address 202.65.163.132 belong to?;Class D;Class A;Class E;Class C;D,,,,,,,,
Which network class does the IP address 7.133.104.139 belong to?;Class B;Class E;Class D;Class A;D,,,,,,,,
Which network class does the IP address 217.98.158.62 belong to?;Class D;Class A;Class C;Class E;C,,,,,,,,
Which network class does the IP address 210.103.237.231 belong to?;Class C;Class D;Class E;Class B;A,,,,,,,,
Which network class does the IP address 146.96.79.38 belong to?;Class B;Class C;Class D;Class E;A,,,,,,,,
Which network class does the IP address 224.213.54.10 belong to?;Class D;Class E;Class B;Class C;A,,,,,,,,
Which network class does the IP address 224.105.108.168 belong to?;Class B;Class C;Class D;Class E;C,,,,,,,,
Which network class does the IP address 245.53.185.78 belong to?;Class B;Class A;Class E;Class D;C,,,,,,,,
Which network class does the IP address 240.34.21.30 belong to?;Class E;Class A;Class C;Class D;A,,,,,,,,
Which network class does the IP address 193.2.124.133 belong to?;Class E;Class C;Class D;Class A;B,,,,,,,,
Which network class does the IP address 188.162.205.182 belong to?;Class D;Class B;Class A;Class E;B,,,,,,,,
Which network class does the IP address 95.133.27.188 belong to?;Class E;Class D;Class A;Class B;C,,,,,,,,
Which network class does the IP address 242.54.158.240 belong to?;Class E;Class B;Class D;Class A;A,,,,,,,,
Which network class does the IP address 201.1.71.202 belong to?;Class B;Class E;Class C;Class A;C,,,,,,,,
Which network class does the IP address 201.92.239.112 belong to?;Class D;Class E;Class A;Class C;D,,,,,,,,
Which network class does the IP address 222.126.47.96 belong to?;Class C;Class E;Class A;Class D;A,,,,,,,,
Which network class does the IP address 248.138.24.176 belong to?;Class D;Class E;Class B;Class A;B,,,,,,,,
Which network class does the IP address 234.133.60.105 belong to?;Class B;Class E;Class C;Class D;D,,,,,,,,
Which network class does the IP address 15.41.188.88 belong to?;Class E;Class A;Class B;Class D;B,,,,,,,,
Which network class does the IP address 208.138.137.92 belong to?;Class C;Class E;Class B;Class A;A,,,,,,,,
Which network class does the IP address 247.11.178.35 belong to?;Class E;Class C;Class A;Class B;A,,,,,,,,
Which network class does the IP address 105.150.61.20 belong to?;Class A;Class B;Class D;Class E;A,,,,,,,,
Which network class does the IP address 214.130.183.53 belong to?;Class C;Class E;Class A;Class D;A,,,,,,,,
Which network class does the IP address 122.126.141.210 belong to?;Class A;Class C;Class D;Class B;A,,,,,,,,
Which network class does the IP address 43.226.148.204 belong to?;Class A;Class E;Class D;Class C;A,,,,,,,,
Which network class does the IP address 151.163.253.82 belong to?;Class E;Class B;Class C;Class D;B,,,,,,,,
Which network class does the IP address 171.31.35.246 belong to?;Class C;Class B;Class A;Class D;B,,,,,,,,
Which network class does the IP address 238.226.43.104 belong to?;Class B;Class C;Class D;Class A;C,,,,,,,,
Which network class does the IP address 155.222.141.119 belong to?;Class D;Class C;Class B;Class E;C,,,,,,,,
Which network class does the IP address 247.204.90.233 belong to?;Class C;Class A;Class E;Class D;C,,,,,,,,
Which network class does the IP address 227.200.112.252 belong to?;Class B;Class E;Class C;Class D;D,,,,,,,,
Which network class does the IP address 137.123.48.211 belong to?;Class B;Class E;Class A;Class D;A,,,,,,,,
Which network class does the IP address 235.248.165.194 belong to?;Class A;Class D;Class E;Class B;B,,,,,,,,
Which network class does the IP address 229.0.189.150 belong to?;Class C;Class E;Class D;Class A;C,,,,,,,,
Which network class does the IP address 154.45.128.109 belong to?;Class D;Class C;Class B;Class E;C,,,,,,,,
Which network class does the IP address 191.12.84.145 belong to?;Class A;Class B;Class D;Class C;B,,,,,,,,
Which network class does the IP address 226.207.155.203 belong to?;Class E;Class A;Class C;Class D;D,,,,,,,,
Which network class does the IP address 246.64.4.186 belong to?;Class B;Class A;Class E;Class D;C,,,,,,,,
Which network class does the IP address 208.231.228.183 belong to?;Class D;Class C;Class A;Class E;B,,,,,,,,
Which network class does the IP address 194.45.137.14 belong to?;Class B;Class C;Class D;Class E;B,,,,,,,,
Given a sequence: 4, 4, 5, 2, 3, 1, 4, 3 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The most frequently used page;The one that was brought in earliest;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;C,,,,,,,,
Given a sequence: 2, 4, 2, 5, 1, 1, 4, 1 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The most frequently used page;The one that will not be used for the longest time in the future;The one that was brought in earliest;The one that has not been used for the longest time in the past;D,,,,,,,,
Given a reference string: 3, 1, 3, 5, 1, 2, 3, 5 and 4 frames. According to the FIFO page replacement algorithm, which page is replaced?;The most frequently used page;The one that has not been used for the longest time in the past;The one that was brought in earliest;The one that will not be used for the longest time in the future;C,,,,,,,,
Given a sequence: 5, 3, 3, 4, 4, 3, 5, 1 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The most frequently used page;B,,,,,,,,
Given a sequence: 4, 5, 1, 3, 1, 3, 5, 1 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The one that was brought in earliest;The most frequently used page;B,,,,,,,,
Given a reference string: 5, 3, 3, 5, 3, 5, 4, 3 and 4 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The one that was brought in earliest;The most frequently used page;C,,,,,,,,
Given string: 4, 2, 3, 5, 5, 3, 3, 5 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The one that was brought in earliest;The most frequently used page;The one that has not been used for the longest time in the past;A,,,,,,,,
Given a sequence: 3, 3, 1, 3, 2, 3, 2, 2 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The most frequently used page;The one that will not be used for the longest time in the future;The one that was brought in earliest;The one that has not been used for the longest time in the past;D,,,,,,,,
Given a reference string: 5, 1, 4, 2, 5, 1, 1, 5 and 4 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The most frequently used page;The one that was brought in earliest;D,,,,,,,,
Given a sequence: 5, 2, 3, 1, 2, 4, 1, 3 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The most frequently used page;C,,,,,,,,
Given a sequence: 3, 1, 3, 3, 5, 4, 3, 2 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The most frequently used page;The one that was brought in earliest;A,,,,,,,,
Given a sequence: 5, 3, 4, 2, 5, 1, 1, 4 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that was brought in earliest;The most frequently used page;The one that will not be used for the longest time in the future;A,,,,,,,,
Given a sequence: 3, 1, 1, 4, 3, 2, 5, 2 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The most frequently used page;The one that will not be used for the longest time in the future;The one that was brought in earliest;The one that has not been used for the longest time in the past;D,,,,,,,,
Given a reference string: 5, 1, 2, 3, 5, 1, 5, 1 and 3 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The one that was brought in earliest;The most frequently used page;C,,,,,,,,
Given string: 4, 3, 5, 3, 3, 4, 1, 1 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The most frequently used page;B,,,,,,,,
Given a reference string: 2, 3, 3, 5, 1, 4, 4, 3 and 3 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The one that was brought in earliest;The one that has not been used for the longest time in the past;The most frequently used page;B,,,,,,,,
Given string: 1, 5, 4, 2, 1, 5, 2, 5 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that was brought in earliest;The most frequently used page;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;C,,,,,,,,
Given a sequence: 5, 2, 5, 2, 5, 2, 3, 3 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that will not be used for the longest time in the future;The most frequently used page;The one that has not been used for the longest time in the past;D,,,,,,,,
Given string: 5, 4, 5, 5, 5, 4, 5, 4 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The most frequently used page;The one that was brought in earliest;The one that has not been used for the longest time in the past;A,,,,,,,,
Given string: 2, 3, 3, 3, 4, 2, 3, 1 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that was brought in earliest;The most frequently used page;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;D,,,,,,,,
Given a sequence: 4, 3, 3, 2, 2, 4, 1, 4 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The most frequently used page;C,,,,,,,,
Given a sequence: 4, 3, 4, 5, 1, 5, 2, 5 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The most frequently used page;C,,,,,,,,
Given a sequence: 2, 5, 2, 1, 2, 2, 5, 1 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The most frequently used page;The one that has not been used for the longest time in the past;The one that was brought in earliest;C,,,,,,,,
Given string: 3, 5, 1, 4, 2, 2, 5, 4 onto 4 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that was brought in earliest;The most frequently used page;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;C,,,,,,,,
Given string: 2, 2, 1, 4, 1, 5, 4, 4 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that was brought in earliest;The one that will not be used for the longest time in the future;The most frequently used page;C,,,,,,,,
Given string: 3, 1, 2, 4, 4, 5, 4, 2 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that was brought in earliest;The most frequently used page;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;C,,,,,,,,
Given string: 2, 1, 2, 4, 5, 3, 5, 2 onto 4 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The most frequently used page;The one that was brought in earliest;B,,,,,,,,
Given a reference string: 2, 2, 2, 1, 3, 2, 4, 4 and 3 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The most frequently used page;The one that was brought in earliest;The one that has not been used for the longest time in the past;C,,,,,,,,
Given a sequence: 2, 3, 3, 2, 1, 1, 2, 4 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that has not been used for the longest time in the past;The most frequently used page;The one that will not be used for the longest time in the future;B,,,,,,,,
Given a sequence: 5, 1, 5, 2, 2, 4, 1, 2 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The most frequently used page;The one that was brought in earliest;The one that will not be used for the longest time in the future;A,,,,,,,,
Given a sequence: 5, 3, 1, 4, 1, 4, 4, 1 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that has not been used for the longest time in the past;The most frequently used page;The one that will not be used for the longest time in the future;B,,,,,,,,
Given a reference string: 5, 4, 5, 4, 1, 3, 3, 5 and 3 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The most frequently used page;The one that was brought in earliest;The one that has not been used for the longest time in the past;C,,,,,,,,
Given a sequence: 3, 4, 5, 1, 5, 4, 1, 2 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The most frequently used page;The one that was brought in earliest;The one that has not been used for the longest time in the past;D,,,,,,,,
Given a reference string: 4, 3, 2, 1, 1, 2, 1, 3 and 3 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The most frequently used page;A,,,,,,,,
Given a sequence: 4, 4, 5, 5, 1, 4, 1, 2 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The most frequently used page;The one that was brought in earliest;A,,,,,,,,
Given string: 5, 3, 1, 4, 1, 4, 4, 5 onto 4 frames. According to the Optimal page replacement algorithm, which page is replaced?;The most frequently used page;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The one that was brought in earliest;C,,,,,,,,
Given a reference string: 1, 5, 2, 1, 5, 4, 3, 1 and 4 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that was brought in earliest;The most frequently used page;The one that will not be used for the longest time in the future;B,,,,,,,,
Given a sequence: 3, 5, 3, 2, 5, 5, 3, 3 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The most frequently used page;The one that was brought in earliest;B,,,,,,,,
Given a sequence: 2, 4, 1, 1, 3, 3, 5, 4 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that was brought in earliest;The most frequently used page;The one that will not be used for the longest time in the future;A,,,,,,,,
Given a reference string: 5, 2, 1, 1, 1, 2, 2, 2 and 3 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that was brought in earliest;The one that will not be used for the longest time in the future;The most frequently used page;B,,,,,,,,
Given a sequence: 5, 3, 5, 5, 1, 1, 5, 4 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that was brought in earliest;The one that will not be used for the longest time in the future;The most frequently used page;A,,,,,,,,
Given a reference string: 5, 3, 1, 3, 5, 4, 5, 5 and 3 frames. According to the FIFO page replacement algorithm, which page is replaced?;The most frequently used page;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The one that was brought in earliest;D,,,,,,,,
Given a sequence: 4, 4, 1, 1, 3, 5, 3, 3 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The one that was brought in earliest;The most frequently used page;A,,,,,,,,
Given string: 3, 5, 5, 5, 5, 3, 2, 1 onto 4 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The one that was brought in earliest;The most frequently used page;The one that has not been used for the longest time in the past;A,,,,,,,,
Given a sequence: 2, 2, 1, 2, 1, 3, 3, 4 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The most frequently used page;The one that was brought in earliest;A,,,,,,,,
Given a reference string: 3, 4, 2, 1, 4, 5, 5, 5 and 4 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The most frequently used page;The one that was brought in earliest;D,,,,,,,,
Given string: 2, 3, 2, 4, 2, 1, 2, 3 onto 4 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The most frequently used page;The one that was brought in earliest;The one that has not been used for the longest time in the past;A,,,,,,,,
Given a reference string: 3, 2, 4, 5, 4, 1, 5, 1 and 3 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The most frequently used page;The one that was brought in earliest;D,,,,,,,,
Given string: 3, 5, 3, 5, 5, 3, 2, 4 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The most frequently used page;C,,,,,,,,
Given a reference string: 1, 1, 2, 2, 3, 4, 5, 3 and 3 frames. According to the FIFO page replacement algorithm, which page is replaced?;The most frequently used page;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;The one that was brought in earliest;D,,,,,,,,
Given string: 5, 2, 1, 3, 2, 4, 5, 1 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The most frequently used page;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The one that was brought in earliest;B,,,,,,,,
Given string: 2, 4, 4, 3, 3, 3, 1, 5 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The most frequently used page;B,,,,,,,,
Given a sequence: 5, 5, 2, 3, 1, 1, 4, 3 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The one that was brought in earliest;The most frequently used page;The one that has not been used for the longest time in the past;D,,,,,,,,
Given a reference string: 3, 5, 1, 3, 3, 4, 4, 1 and 4 frames. According to the FIFO page replacement algorithm, which page is replaced?;The most frequently used page;The one that will not be used for the longest time in the future;The one that has not been used for the longest time in the past;The one that was brought in earliest;D,,,,,,,,
Given a reference string: 2, 4, 1, 5, 3, 3, 3, 5 and 4 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that was brought in earliest;The most frequently used page;The one that has not been used for the longest time in the past;The one that will not be used for the longest time in the future;A,,,,,,,,
Given string: 3, 5, 3, 2, 3, 5, 3, 5 onto 4 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that was brought in earliest;The one that will not be used for the longest time in the future;The most frequently used page;C,,,,,,,,
Given string: 4, 1, 2, 1, 1, 5, 2, 5 onto 4 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that will not be used for the longest time in the future;The most frequently used page;The one that has not been used for the longest time in the past;B,,,,,,,,
Given a reference string: 5, 2, 5, 1, 3, 2, 1, 2 and 3 frames. According to the FIFO page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The most frequently used page;The one that will not be used for the longest time in the future;The one that was brought in earliest;D,,,,,,,,
Given string: 4, 2, 1, 2, 3, 1, 5, 5 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The most frequently used page;The one that has not been used for the longest time in the past;The one that was brought in earliest;A,,,,,,,,
Given string: 3, 2, 3, 1, 4, 1, 2, 4 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The one that was brought in earliest;The one that will not be used for the longest time in the future;The most frequently used page;C,,,,,,,,
Given string: 1, 3, 3, 1, 2, 5, 2, 2 onto 3 frames. According to the Optimal page replacement algorithm, which page is replaced?;The most frequently used page;The one that will not be used for the longest time in the future;The one that was brought in earliest;The one that has not been used for the longest time in the past;B,,,,,,,,
Given a sequence: 3, 2, 2, 1, 5, 1, 5, 1 and 3 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that has not been used for the longest time in the past;The most frequently used page;The one that will not be used for the longest time in the future;The one that was brought in earliest;A,,,,,,,,
Given string: 1, 1, 5, 3, 4, 2, 1, 4 onto 4 frames. According to the Optimal page replacement algorithm, which page is replaced?;The one that was brought in earliest;The one that will not be used for the longest time in the future;The most frequently used page;The one that has not been used for the longest time in the past;B,,,,,,,,
Given a sequence: 4, 4, 2, 3, 4, 4, 2, 1 and 4 frames. According to the LRU page replacement algorithm, which page is replaced?;The one that will not be used for the longest time in the future;The one that was brought in earliest;The one that has not been used for the longest time in the past;The most frequently used page;C,,,,,,,,
